nct_id,adverse_event,severity,frequency,serious,drug,target
NCT00000019,Acneiform rash,Life-threatening,31,True,Cetuximab,EGFR
NCT00000019,Dry skin,Severe,91,True,Cetuximab,EGFR
NCT00000019,Pruritus,Life-threatening,8,False,Cetuximab,EGFR
NCT00000019,Rash,Life-threatening,72,True,Cetuximab,EGFR
NCT00000020,Pneumonia,Mild,58,False,Tocilizumab,IL-6
NCT00000020,Tuberculosis,Mild,69,True,Tocilizumab,IL-6
NCT00000020,Infection,Mild,35,False,Tocilizumab,IL-6
NCT00000020,Sepsis,Mild,10,True,Tocilizumab,IL-6
NCT00000021,Pneumonia,Severe,2,True,Tocilizumab,IL-6
NCT00000021,Tuberculosis,Moderate,95,True,Tocilizumab,IL-6
NCT00000021,Infection,Life-threatening,32,True,Tocilizumab,IL-6
NCT00000021,Sepsis,Life-threatening,31,False,Tocilizumab,IL-6
NCT00000022,Proteinuria,Severe,47,False,Bevacizumab,VEGF
NCT00000022,Thromboembolism,Life-threatening,13,False,Bevacizumab,VEGF
NCT00000022,Bleeding,Severe,27,False,Bevacizumab,VEGF
NCT00000022,Hypertension,Severe,53,True,Bevacizumab,VEGF
NCT00000023,Acneiform rash,Severe,71,False,Cetuximab,EGFR
NCT00000023,Pruritus,Severe,20,True,Cetuximab,EGFR
NCT00000023,Rash,Severe,30,False,Cetuximab,EGFR
NCT00000023,Dry skin,Moderate,64,False,Cetuximab,EGFR
NCT00000024,Thyroiditis,Moderate,18,False,Pembrolizumab,PD-1
NCT00000024,Rash,Moderate,70,True,Pembrolizumab,PD-1
NCT00000024,Pneumonitis,Mild,10,True,Pembrolizumab,PD-1
NCT00000024,Colitis,Mild,53,True,Pembrolizumab,PD-1
NCT00000024,Hepatitis,Moderate,9,True,Pembrolizumab,PD-1
NCT00000025,Pneumonitis,Mild,80,False,Ipilimumab,CTLA-4
NCT00000025,Thyroiditis,Life-threatening,3,True,Ipilimumab,CTLA-4
NCT00000025,Rash,Life-threatening,2,True,Ipilimumab,CTLA-4
NCT00000026,Sepsis,Life-threatening,23,True,Tocilizumab,IL-6
NCT00000026,Tuberculosis,Mild,68,True,Tocilizumab,IL-6
NCT00000026,Pneumonia,Moderate,25,False,Tocilizumab,IL-6
NCT00000026,Infection,Severe,35,False,Tocilizumab,IL-6
NCT00000027,Arrhythmia,Moderate,90,True,Trastuzumab,HER2
NCT00000027,Heart failure,Severe,88,True,Trastuzumab,HER2
NCT00000027,Hypertension,Mild,12,False,Trastuzumab,HER2
NCT00000028,Thyroiditis,Mild,64,False,Pembrolizumab,PD-1
NCT00000028,Rash,Severe,73,True,Pembrolizumab,PD-1
NCT00000028,Colitis,Mild,30,True,Pembrolizumab,PD-1
NCT00000028,Hepatitis,Life-threatening,35,True,Pembrolizumab,PD-1
NCT00000028,Pneumonitis,Mild,88,False,Pembrolizumab,PD-1
NCT00000029,Rash,Moderate,76,True,Ipilimumab,CTLA-4
NCT00000029,Colitis,Life-threatening,10,False,Ipilimumab,CTLA-4
NCT00000029,Thyroiditis,Moderate,73,True,Ipilimumab,CTLA-4
NCT00000029,Pneumonitis,Life-threatening,87,False,Ipilimumab,CTLA-4
NCT00000029,Hepatitis,Life-threatening,97,True,Ipilimumab,CTLA-4
NCT00000030,Colitis,Moderate,10,False,Ipilimumab,CTLA-4
NCT00000030,Hepatitis,Life-threatening,100,False,Ipilimumab,CTLA-4
NCT00000030,Rash,Mild,82,False,Ipilimumab,CTLA-4
NCT00000030,Thyroiditis,Life-threatening,63,True,Ipilimumab,CTLA-4
NCT00000030,Pneumonitis,Severe,71,False,Ipilimumab,CTLA-4
NCT00000031,Chills,Mild,11,False,Daratumumab,CD38
NCT00000031,Rash,Moderate,49,True,Daratumumab,CD38
NCT00000031,Infusion reaction,Life-threatening,41,False,Daratumumab,CD38
NCT00000031,Pruritus,Mild,12,True,Daratumumab,CD38
NCT00000031,Fever,Severe,57,False,Daratumumab,CD38
NCT00000032,Infusion reaction,Life-threatening,72,False,Daratumumab,CD38
NCT00000032,Chills,Mild,4,True,Daratumumab,CD38
NCT00000032,Pruritus,Severe,71,True,Daratumumab,CD38
NCT00000032,Fever,Severe,50,True,Daratumumab,CD38
NCT00000032,Rash,Severe,53,False,Daratumumab,CD38
NCT00000033,Pneumonia,Life-threatening,22,True,Adalimumab,TNF-alpha
NCT00000033,Sepsis,Severe,39,False,Adalimumab,TNF-alpha
NCT00000033,Infection,Life-threatening,19,True,Adalimumab,TNF-alpha
NCT00000034,Rash,Life-threatening,10,False,Rituximab,CD20
NCT00000034,Fever,Severe,32,False,Rituximab,CD20
NCT00000034,Chills,Moderate,59,True,Rituximab,CD20
NCT00000034,Pruritus,Moderate,39,True,Rituximab,CD20
NCT00000035,Fever,Life-threatening,84,True,Daratumumab,CD38
NCT00000035,Rash,Severe,42,True,Daratumumab,CD38
NCT00000035,Chills,Life-threatening,41,True,Daratumumab,CD38
NCT00000035,Pruritus,Life-threatening,41,False,Daratumumab,CD38
NCT00000035,Infusion reaction,Life-threatening,74,True,Daratumumab,CD38
NCT00000036,Rash,Moderate,76,True,Daratumumab,CD38
NCT00000036,Fever,Mild,94,False,Daratumumab,CD38
NCT00000036,Chills,Moderate,57,False,Daratumumab,CD38
NCT00000036,Pruritus,Mild,53,False,Daratumumab,CD38
NCT00000036,Infusion reaction,Moderate,82,False,Daratumumab,CD38
NCT00000037,Hepatitis,Life-threatening,10,False,Pembrolizumab,PD-1
NCT00000037,Pneumonitis,Life-threatening,75,False,Pembrolizumab,PD-1
NCT00000037,Rash,Life-threatening,70,True,Pembrolizumab,PD-1
NCT00000037,Thyroiditis,Severe,90,True,Pembrolizumab,PD-1
NCT00000038,Seizure,Mild,73,False,Blinatumomab,CD19/CD3
NCT00000038,Tremor,Severe,56,True,Blinatumomab,CD19/CD3
NCT00000038,Confusion,Mild,13,False,Blinatumomab,CD19/CD3
NCT00000039,Pneumonia,Life-threatening,99,True,Adalimumab,TNF-alpha
NCT00000039,Tuberculosis,Severe,4,False,Adalimumab,TNF-alpha
NCT00000039,Sepsis,Mild,38,False,Adalimumab,TNF-alpha
NCT00000039,Infection,Mild,15,True,Adalimumab,TNF-alpha
NCT00000040,Hepatitis,Severe,61,True,Ipilimumab,CTLA-4
NCT00000040,Rash,Life-threatening,93,False,Ipilimumab,CTLA-4
NCT00000040,Pneumonitis,Severe,9,False,Ipilimumab,CTLA-4
NCT00000040,Colitis,Mild,91,True,Ipilimumab,CTLA-4
NCT00000040,Thyroiditis,Mild,44,True,Ipilimumab,CTLA-4
NCT00000041,Heart failure,Moderate,43,False,Trastuzumab,HER2
NCT00000041,Arrhythmia,Life-threatening,30,False,Trastuzumab,HER2
NCT00000041,Cardiac dysfunction,Moderate,24,False,Trastuzumab,HER2
NCT00000041,Hypertension,Life-threatening,4,True,Trastuzumab,HER2
NCT00000042,Pruritus,Moderate,36,True,Daratumumab,CD38
NCT00000042,Rash,Mild,69,True,Daratumumab,CD38
NCT00000042,Chills,Severe,42,True,Daratumumab,CD38
NCT00000042,Infusion reaction,Life-threatening,15,False,Daratumumab,CD38
NCT00000042,Fever,Life-threatening,68,False,Daratumumab,CD38
NCT00000043,Proteinuria,Severe,46,False,Bevacizumab,VEGF
NCT00000043,Bleeding,Moderate,87,False,Bevacizumab,VEGF
NCT00000043,Thromboembolism,Mild,87,True,Bevacizumab,VEGF
NCT00000043,Hypertension,Severe,16,True,Bevacizumab,VEGF
NCT00000044,Rash,Life-threatening,54,True,Cetuximab,EGFR
NCT00000044,Dry skin,Life-threatening,55,True,Cetuximab,EGFR
NCT00000044,Acneiform rash,Life-threatening,82,True,Cetuximab,EGFR
NCT00000044,Pruritus,Moderate,63,False,Cetuximab,EGFR
NCT00000045,Heart failure,Severe,2,False,Trastuzumab,HER2
NCT00000045,Hypertension,Moderate,25,False,Trastuzumab,HER2
NCT00000045,Arrhythmia,Life-threatening,53,False,Trastuzumab,HER2
NCT00000045,Cardiac dysfunction,Life-threatening,91,False,Trastuzumab,HER2
NCT00000046,Pneumonia,Severe,5,False,Tocilizumab,IL-6
NCT00000046,Infection,Moderate,69,False,Tocilizumab,IL-6
NCT00000046,Sepsis,Moderate,100,False,Tocilizumab,IL-6
NCT00000046,Tuberculosis,Life-threatening,71,True,Tocilizumab,IL-6
NCT00000047,Colitis,Life-threatening,70,True,Ipilimumab,CTLA-4
NCT00000047,Hepatitis,Life-threatening,14,True,Ipilimumab,CTLA-4
NCT00000047,Thyroiditis,Severe,5,False,Ipilimumab,CTLA-4
NCT00000047,Pneumonitis,Severe,45,True,Ipilimumab,CTLA-4
NCT00000047,Rash,Life-threatening,16,True,Ipilimumab,CTLA-4
NCT00000048,Pruritus,Moderate,79,True,Rituximab,CD20
NCT00000048,Fever,Moderate,27,True,Rituximab,CD20
NCT00000048,Rash,Severe,69,False,Rituximab,CD20
NCT00000048,Chills,Moderate,42,False,Rituximab,CD20
NCT00000049,Sepsis,Life-threatening,8,False,Tocilizumab,IL-6
NCT00000049,Tuberculosis,Moderate,90,True,Tocilizumab,IL-6
NCT00000049,Infection,Moderate,19,False,Tocilizumab,IL-6
NCT00000049,Pneumonia,Moderate,98,False,Tocilizumab,IL-6
NCT00000050,Pneumonia,Life-threatening,58,True,Adalimumab,TNF-alpha
NCT00000050,Sepsis,Mild,52,False,Adalimumab,TNF-alpha
NCT00000050,Tuberculosis,Severe,59,False,Adalimumab,TNF-alpha
NCT00000050,Infection,Severe,75,True,Adalimumab,TNF-alpha
NCT00000051,Colitis,Life-threatening,28,False,Ipilimumab,CTLA-4
NCT00000051,Thyroiditis,Moderate,64,False,Ipilimumab,CTLA-4
NCT00000051,Hepatitis,Severe,37,False,Ipilimumab,CTLA-4
NCT00000051,Pneumonitis,Moderate,73,False,Ipilimumab,CTLA-4
NCT00000051,Rash,Severe,88,True,Ipilimumab,CTLA-4
NCT00000052,Rash,Mild,16,True,Cetuximab,EGFR
NCT00000052,Pruritus,Life-threatening,59,True,Cetuximab,EGFR
NCT00000052,Acneiform rash,Life-threatening,26,True,Cetuximab,EGFR
NCT00000053,Pruritus,Severe,33,True,Cetuximab,EGFR
NCT00000053,Rash,Severe,86,True,Cetuximab,EGFR
NCT00000053,Acneiform rash,Mild,51,False,Cetuximab,EGFR
NCT00000053,Dry skin,Moderate,55,True,Cetuximab,EGFR
NCT00000054,Confusion,Moderate,76,True,Blinatumomab,CD19/CD3
NCT00000054,Dizziness,Life-threatening,2,True,Blinatumomab,CD19/CD3
NCT00000054,Headache,Severe,16,False,Blinatumomab,CD19/CD3
NCT00000054,Seizure,Moderate,62,True,Blinatumomab,CD19/CD3
NCT00000054,Tremor,Moderate,50,True,Blinatumomab,CD19/CD3
NCT00000055,Infusion reaction,Moderate,49,True,Rituximab,CD20
NCT00000055,Pruritus,Moderate,9,True,Rituximab,CD20
NCT00000055,Chills,Moderate,57,False,Rituximab,CD20
NCT00000055,Fever,Moderate,81,True,Rituximab,CD20
NCT00000055,Rash,Life-threatening,79,False,Rituximab,CD20
NCT00000056,Hypertension,Life-threatening,45,False,Bevacizumab,VEGF
NCT00000056,Proteinuria,Severe,18,True,Bevacizumab,VEGF
NCT00000056,Bleeding,Severe,83,True,Bevacizumab,VEGF
NCT00000056,Thromboembolism,Moderate,71,False,Bevacizumab,VEGF
NCT00000057,Colitis,Severe,83,True,Pembrolizumab,PD-1
NCT00000057,Hepatitis,Moderate,64,False,Pembrolizumab,PD-1
NCT00000057,Rash,Mild,31,False,Pembrolizumab,PD-1
NCT00000057,Thyroiditis,Mild,68,True,Pembrolizumab,PD-1
NCT00000057,Pneumonitis,Severe,41,True,Pembrolizumab,PD-1
NCT00000058,Dizziness,Mild,3,True,Blinatumomab,CD19/CD3
NCT00000058,Headache,Mild,34,True,Blinatumomab,CD19/CD3
NCT00000058,Seizure,Mild,8,False,Blinatumomab,CD19/CD3
NCT00000058,Confusion,Severe,81,False,Blinatumomab,CD19/CD3
NCT00000058,Tremor,Life-threatening,90,False,Blinatumomab,CD19/CD3
NCT00000059,Dizziness,Mild,40,True,Blinatumomab,CD19/CD3
NCT00000059,Seizure,Moderate,20,False,Blinatumomab,CD19/CD3
NCT00000059,Headache,Life-threatening,76,True,Blinatumomab,CD19/CD3
NCT00000060,Hypertension,Moderate,12,False,Trastuzumab,HER2
NCT00000060,Arrhythmia,Mild,59,True,Trastuzumab,HER2
NCT00000060,Cardiac dysfunction,Severe,86,True,Trastuzumab,HER2
NCT00000060,Heart failure,Mild,2,True,Trastuzumab,HER2
NCT00000061,Confusion,Moderate,48,True,Blinatumomab,CD19/CD3
NCT00000061,Seizure,Severe,94,True,Blinatumomab,CD19/CD3
NCT00000061,Headache,Mild,43,False,Blinatumomab,CD19/CD3
NCT00000061,Tremor,Severe,68,True,Blinatumomab,CD19/CD3
NCT00000061,Dizziness,Severe,92,True,Blinatumomab,CD19/CD3
NCT00000062,Rash,Severe,21,False,Rituximab,CD20
NCT00000062,Fever,Mild,74,True,Rituximab,CD20
NCT00000062,Infusion reaction,Moderate,95,True,Rituximab,CD20
NCT00000062,Chills,Mild,2,True,Rituximab,CD20
NCT00000062,Pruritus,Mild,61,False,Rituximab,CD20
NCT00000063,Acneiform rash,Moderate,42,True,Cetuximab,EGFR
NCT00000063,Rash,Life-threatening,93,False,Cetuximab,EGFR
NCT00000063,Pruritus,Severe,10,False,Cetuximab,EGFR
NCT00000063,Dry skin,Mild,65,True,Cetuximab,EGFR
NCT00000064,Acneiform rash,Mild,60,False,Cetuximab,EGFR
NCT00000064,Pruritus,Severe,42,True,Cetuximab,EGFR
NCT00000064,Rash,Life-threatening,2,False,Cetuximab,EGFR
NCT00000064,Dry skin,Moderate,38,False,Cetuximab,EGFR
NCT00000065,Pneumonia,Moderate,94,True,Adalimumab,TNF-alpha
NCT00000065,Tuberculosis,Moderate,1,False,Adalimumab,TNF-alpha
NCT00000065,Sepsis,Mild,30,False,Adalimumab,TNF-alpha
NCT00000065,Infection,Mild,43,True,Adalimumab,TNF-alpha
NCT00000066,Tuberculosis,Moderate,68,True,Tocilizumab,IL-6
NCT00000066,Sepsis,Life-threatening,63,True,Tocilizumab,IL-6
NCT00000066,Pneumonia,Moderate,92,False,Tocilizumab,IL-6
NCT00000066,Infection,Mild,6,True,Tocilizumab,IL-6
NCT00000067,Rash,Moderate,82,False,Daratumumab,CD38
NCT00000067,Fever,Mild,76,True,Daratumumab,CD38
NCT00000067,Chills,Life-threatening,85,True,Daratumumab,CD38
NCT00000067,Infusion reaction,Moderate,38,False,Daratumumab,CD38
NCT00000067,Pruritus,Severe,51,False,Daratumumab,CD38
NCT00000068,Thyroiditis,Moderate,100,True,Pembrolizumab,PD-1
NCT00000068,Hepatitis,Moderate,14,True,Pembrolizumab,PD-1
NCT00000068,Colitis,Life-threatening,60,False,Pembrolizumab,PD-1
NCT00000068,Rash,Life-threatening,16,False,Pembrolizumab,PD-1
NCT00000068,Pneumonitis,Moderate,58,False,Pembrolizumab,PD-1
NCT00000069,Bleeding,Severe,91,True,Bevacizumab,VEGF
NCT00000069,Hypertension,Moderate,42,True,Bevacizumab,VEGF
NCT00000069,Proteinuria,Mild,92,True,Bevacizumab,VEGF
NCT00000069,Thromboembolism,Severe,51,True,Bevacizumab,VEGF
NCT00000070,Hepatitis,Life-threatening,72,True,Ipilimumab,CTLA-4
NCT00000070,Rash,Mild,60,True,Ipilimumab,CTLA-4
NCT00000070,Colitis,Moderate,16,True,Ipilimumab,CTLA-4
NCT00000070,Thyroiditis,Mild,100,True,Ipilimumab,CTLA-4
NCT00000070,Pneumonitis,Moderate,26,False,Ipilimumab,CTLA-4
NCT00000071,Rash,Mild,9,True,Cetuximab,EGFR
NCT00000071,Pruritus,Life-threatening,17,True,Cetuximab,EGFR
NCT00000071,Acneiform rash,Severe,16,True,Cetuximab,EGFR
NCT00000071,Dry skin,Life-threatening,7,True,Cetuximab,EGFR
NCT00000072,Tuberculosis,Mild,49,False,Tocilizumab,IL-6
NCT00000072,Sepsis,Moderate,46,True,Tocilizumab,IL-6
NCT00000072,Pneumonia,Moderate,36,False,Tocilizumab,IL-6
NCT00000072,Infection,Life-threatening,20,True,Tocilizumab,IL-6
NCT00000073,Rash,Life-threatening,71,False,Pembrolizumab,PD-1
NCT00000073,Pneumonitis,Mild,12,False,Pembrolizumab,PD-1
NCT00000073,Hepatitis,Life-threatening,18,False,Pembrolizumab,PD-1
NCT00000073,Thyroiditis,Moderate,83,True,Pembrolizumab,PD-1
NCT00000073,Colitis,Mild,49,False,Pembrolizumab,PD-1
NCT00000074,Hypertension,Severe,24,True,Trastuzumab,HER2
NCT00000074,Heart failure,Severe,77,True,Trastuzumab,HER2
NCT00000074,Arrhythmia,Mild,100,False,Trastuzumab,HER2
NCT00000074,Cardiac dysfunction,Mild,61,False,Trastuzumab,HER2
NCT00000075,Heart failure,Moderate,35,True,Trastuzumab,HER2
NCT00000075,Cardiac dysfunction,Moderate,74,False,Trastuzumab,HER2
NCT00000075,Arrhythmia,Severe,23,True,Trastuzumab,HER2
NCT00000075,Hypertension,Moderate,76,False,Trastuzumab,HER2
NCT00000076,Hepatitis,Moderate,64,False,Pembrolizumab,PD-1
NCT00000076,Colitis,Moderate,63,True,Pembrolizumab,PD-1
NCT00000076,Rash,Mild,8,True,Pembrolizumab,PD-1
NCT00000076,Pneumonitis,Moderate,3,False,Pembrolizumab,PD-1
NCT00000076,Thyroiditis,Mild,43,True,Pembrolizumab,PD-1
NCT00000077,Sepsis,Mild,3,True,Tocilizumab,IL-6
NCT00000077,Tuberculosis,Moderate,100,True,Tocilizumab,IL-6
NCT00000077,Infection,Severe,10,False,Tocilizumab,IL-6
NCT00000077,Pneumonia,Life-threatening,76,True,Tocilizumab,IL-6
NCT00000078,Fever,Life-threatening,84,False,Daratumumab,CD38
NCT00000078,Pruritus,Moderate,91,False,Daratumumab,CD38
NCT00000078,Infusion reaction,Moderate,86,True,Daratumumab,CD38
NCT00000078,Rash,Life-threatening,40,False,Daratumumab,CD38
NCT00000078,Chills,Moderate,23,True,Daratumumab,CD38
NCT00000079,Pruritus,Severe,79,True,Daratumumab,CD38
NCT00000079,Rash,Mild,64,True,Daratumumab,CD38
NCT00000079,Fever,Severe,96,True,Daratumumab,CD38
NCT00000079,Infusion reaction,Moderate,45,False,Daratumumab,CD38
NCT00000079,Chills,Moderate,82,True,Daratumumab,CD38
NCT00000080,Sepsis,Moderate,32,True,Adalimumab,TNF-alpha
NCT00000080,Pneumonia,Severe,33,True,Adalimumab,TNF-alpha
NCT00000080,Infection,Mild,7,False,Adalimumab,TNF-alpha
NCT00000080,Tuberculosis,Life-threatening,94,False,Adalimumab,TNF-alpha
NCT00000081,Rash,Life-threatening,13,False,Daratumumab,CD38
NCT00000081,Pruritus,Moderate,21,False,Daratumumab,CD38
NCT00000081,Chills,Mild,5,False,Daratumumab,CD38
NCT00000081,Fever,Mild,41,False,Daratumumab,CD38
NCT00000082,Colitis,Life-threatening,21,True,Ipilimumab,CTLA-4
NCT00000082,Hepatitis,Mild,44,False,Ipilimumab,CTLA-4
NCT00000082,Rash,Mild,56,True,Ipilimumab,CTLA-4
NCT00000083,Proteinuria,Severe,27,True,Bevacizumab,VEGF
NCT00000083,Hypertension,Life-threatening,90,False,Bevacizumab,VEGF
NCT00000083,Bleeding,Severe,39,True,Bevacizumab,VEGF
NCT00000083,Thromboembolism,Mild,7,False,Bevacizumab,VEGF
NCT00000084,Tuberculosis,Mild,55,True,Adalimumab,TNF-alpha
NCT00000084,Infection,Severe,85,False,Adalimumab,TNF-alpha
NCT00000084,Sepsis,Moderate,13,True,Adalimumab,TNF-alpha
NCT00000084,Pneumonia,Moderate,22,False,Adalimumab,TNF-alpha
NCT00000085,Tuberculosis,Life-threatening,61,False,Adalimumab,TNF-alpha
NCT00000085,Infection,Severe,12,False,Adalimumab,TNF-alpha
NCT00000085,Pneumonia,Moderate,48,False,Adalimumab,TNF-alpha
NCT00000086,Pneumonitis,Life-threatening,34,True,Pembrolizumab,PD-1
NCT00000086,Thyroiditis,Severe,73,True,Pembrolizumab,PD-1
NCT00000086,Colitis,Moderate,97,True,Pembrolizumab,PD-1
NCT00000086,Rash,Mild,86,False,Pembrolizumab,PD-1
NCT00000086,Hepatitis,Life-threatening,97,True,Pembrolizumab,PD-1
NCT00000087,Infusion reaction,Moderate,61,False,Daratumumab,CD38
NCT00000087,Rash,Mild,51,True,Daratumumab,CD38
NCT00000087,Fever,Moderate,16,False,Daratumumab,CD38
NCT00000087,Chills,Moderate,22,True,Daratumumab,CD38
NCT00000087,Pruritus,Moderate,17,True,Daratumumab,CD38
NCT00000088,Cardiac dysfunction,Moderate,77,False,Trastuzumab,HER2
NCT00000088,Arrhythmia,Severe,94,True,Trastuzumab,HER2
NCT00000088,Heart failure,Mild,50,False,Trastuzumab,HER2
NCT00000088,Hypertension,Severe,36,False,Trastuzumab,HER2
NCT00000089,Pruritus,Life-threatening,20,True,Daratumumab,CD38
NCT00000089,Rash,Mild,14,True,Daratumumab,CD38
NCT00000089,Infusion reaction,Severe,69,False,Daratumumab,CD38
NCT00000090,Hepatitis,Mild,23,False,Ipilimumab,CTLA-4
NCT00000090,Thyroiditis,Life-threatening,19,False,Ipilimumab,CTLA-4
NCT00000090,Rash,Mild,51,False,Ipilimumab,CTLA-4
NCT00000090,Pneumonitis,Moderate,7,False,Ipilimumab,CTLA-4
NCT00000090,Colitis,Severe,48,True,Ipilimumab,CTLA-4
NCT00000091,Fever,Moderate,18,False,Rituximab,CD20
NCT00000091,Pruritus,Life-threatening,100,False,Rituximab,CD20
NCT00000091,Chills,Severe,94,False,Rituximab,CD20
NCT00000091,Rash,Mild,25,False,Rituximab,CD20
NCT00000091,Infusion reaction,Moderate,53,False,Rituximab,CD20
NCT00000092,Sepsis,Severe,91,False,Tocilizumab,IL-6
NCT00000092,Infection,Moderate,100,True,Tocilizumab,IL-6
NCT00000092,Tuberculosis,Moderate,25,True,Tocilizumab,IL-6
NCT00000092,Pneumonia,Mild,32,True,Tocilizumab,IL-6
NCT00000093,Cardiac dysfunction,Severe,60,False,Trastuzumab,HER2
NCT00000093,Heart failure,Mild,88,True,Trastuzumab,HER2
NCT00000093,Hypertension,Moderate,48,False,Trastuzumab,HER2
