nct_id,adverse_event_term,organ_system,serious,frequency_threshold,assessed_participants,affected_participants,events,event_type,antibody_name,antibody_category,indication,phase,enrollment
NCT57871801,Infection,Infections and infestations,Yes,5%,310,12,21,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
NCT57871801,Infection,Infections and infestations,Yes,10%,310,11,15,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
NCT57871801,Cytopenia,Blood and lymphatic system disorders,No,10%,310,12,21,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
NCT57871801,Infection,Infections and infestations,Yes,15%,310,22,41,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
NCT57871801,Cytopenia,Blood and lymphatic system disorders,No,15%,310,29,43,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 2,310
NCT83581942,Infection,Infections and infestations,Yes,10%,72,4,6,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Cytopenia,Blood and lymphatic system disorders,No,10%,72,6,6,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Infection,Infections and infestations,Yes,10%,72,5,9,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Infusion related reaction,General disorders and administration site conditions,No,15%,72,6,6,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Infusion related reaction,General disorders and administration site conditions,No,15%,72,2,4,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Infection,Infections and infestations,Yes,15%,72,7,8,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Cytopenia,Blood and lymphatic system disorders,No,5%,72,5,6,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Infusion related reaction,General disorders and administration site conditions,No,10%,72,5,5,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT83581942,Infection,Infections and infestations,Yes,10%,72,5,7,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 2,72
NCT23823136,Infection,Infections and infestations,Yes,10%,230,13,25,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Infection,Infections and infestations,Yes,10%,230,9,9,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Infection,Infections and infestations,Yes,15%,230,10,14,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Infusion related reaction,General disorders and administration site conditions,No,15%,230,19,20,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Cytopenia,Blood and lymphatic system disorders,No,15%,230,12,22,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Cytopenia,Blood and lymphatic system disorders,No,5%,230,1,2,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Infusion related reaction,General disorders and administration site conditions,No,10%,230,21,28,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Cytopenia,Blood and lymphatic system disorders,No,15%,230,4,5,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Infusion related reaction,General disorders and administration site conditions,No,15%,230,10,17,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Cytopenia,Blood and lymphatic system disorders,No,10%,230,15,21,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT23823136,Infusion related reaction,General disorders and administration site conditions,No,5%,230,4,4,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,230
NCT93654326,Infusion related reaction,General disorders and administration site conditions,No,10%,412,25,40,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,412
NCT93654326,Infection,Infections and infestations,Yes,5%,412,3,4,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,412
NCT93654326,Cytopenia,Blood and lymphatic system disorders,No,15%,412,30,60,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,412
NCT93654326,Infusion related reaction,General disorders and administration site conditions,No,15%,412,29,55,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,412
NCT64586623,Infection,Infections and infestations,Yes,15%,396,14,27,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Cytopenia,Blood and lymphatic system disorders,No,10%,396,2,4,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Infection,Infections and infestations,Yes,15%,396,23,38,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Infusion related reaction,General disorders and administration site conditions,No,15%,396,21,37,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Infusion related reaction,General disorders and administration site conditions,No,5%,396,11,11,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Cytopenia,Blood and lymphatic system disorders,No,5%,396,18,26,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Cytopenia,Blood and lymphatic system disorders,No,15%,396,32,32,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Infection,Infections and infestations,Yes,5%,396,22,22,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Infusion related reaction,General disorders and administration site conditions,No,5%,396,23,30,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Cytopenia,Blood and lymphatic system disorders,No,15%,396,7,8,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT64586623,Infusion related reaction,General disorders and administration site conditions,No,15%,396,12,22,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 3,396
NCT17057020,Infection,Infections and infestations,Yes,10%,639,2,3,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,639
NCT17057020,Cytopenia,Blood and lymphatic system disorders,No,10%,639,47,76,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,639
NCT17057020,Infection,Infections and infestations,Yes,10%,639,30,34,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,639
NCT17057020,Infection,Infections and infestations,Yes,15%,639,42,42,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 4,639
NCT44586030,Infection,Infections and infestations,Yes,15%,206,5,7,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,206
NCT44586030,Cytopenia,Blood and lymphatic system disorders,No,15%,206,1,2,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 4,206
NCT44586030,Cytopenia,Blood and lymphatic system disorders,No,5%,206,14,20,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,206
NCT44586030,Cytopenia,Blood and lymphatic system disorders,No,5%,206,4,5,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 4,206
NCT44586030,Cytopenia,Blood and lymphatic system disorders,No,5%,206,7,9,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,206
NCT67064918,Infection,Infections and infestations,Yes,5%,812,30,55,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,812
NCT67064918,Infusion related reaction,General disorders and administration site conditions,No,15%,812,20,37,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 4,812
NCT67064918,Infection,Infections and infestations,Yes,5%,812,2,2,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,812
NCT67064918,Cytopenia,Blood and lymphatic system disorders,No,5%,812,19,26,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 4,812
NCT67064918,Infusion related reaction,General disorders and administration site conditions,No,10%,812,43,47,All Causality,Rituximab,Anti-CD20,Lymphoma,Phase 4,812
NCT67064918,Cytopenia,Blood and lymphatic system disorders,No,10%,812,45,59,Treatment Emergent,Rituximab,Anti-CD20,Lymphoma,Phase 4,812
NCT98784408,Cytopenia,Blood and lymphatic system disorders,No,10%,907,20,22,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infusion related reaction,General disorders and administration site conditions,No,5%,907,36,64,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Cytopenia,Blood and lymphatic system disorders,No,15%,907,41,51,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infusion related reaction,General disorders and administration site conditions,No,15%,907,49,52,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Cytopenia,Blood and lymphatic system disorders,No,10%,907,8,8,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infusion related reaction,General disorders and administration site conditions,No,10%,907,45,83,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infection,Infections and infestations,Yes,15%,907,49,94,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infection,Infections and infestations,Yes,5%,907,43,44,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infection,Infections and infestations,Yes,5%,907,16,18,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Cytopenia,Blood and lymphatic system disorders,No,15%,907,13,17,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Cytopenia,Blood and lymphatic system disorders,No,5%,907,11,21,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT98784408,Infection,Infections and infestations,Yes,15%,907,44,81,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,907
NCT16782352,Infection,Infections and infestations,Yes,10%,777,6,9,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infection,Infections and infestations,Yes,10%,777,29,34,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infusion related reaction,General disorders and administration site conditions,No,5%,777,30,38,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Cytopenia,Blood and lymphatic system disorders,No,5%,777,33,48,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infection,Infections and infestations,Yes,15%,777,6,7,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Cytopenia,Blood and lymphatic system disorders,No,5%,777,15,18,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infection,Infections and infestations,Yes,15%,777,50,59,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infection,Infections and infestations,Yes,15%,777,29,50,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infection,Infections and infestations,Yes,10%,777,27,53,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infection,Infections and infestations,Yes,10%,777,30,44,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT16782352,Infusion related reaction,General disorders and administration site conditions,No,15%,777,17,17,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,777
NCT85076861,Infusion related reaction,General disorders and administration site conditions,No,5%,870,35,41,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Infection,Infections and infestations,Yes,10%,870,25,44,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Cytopenia,Blood and lymphatic system disorders,No,10%,870,19,34,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Cytopenia,Blood and lymphatic system disorders,No,10%,870,19,35,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Cytopenia,Blood and lymphatic system disorders,No,10%,870,27,48,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Infusion related reaction,General disorders and administration site conditions,No,5%,870,10,18,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Infection,Infections and infestations,Yes,15%,870,17,21,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Infusion related reaction,General disorders and administration site conditions,No,5%,870,50,65,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Cytopenia,Blood and lymphatic system disorders,No,10%,870,6,8,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT85076861,Infection,Infections and infestations,Yes,15%,870,27,50,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 1,870
NCT82030671,Infusion related reaction,General disorders and administration site conditions,No,15%,579,17,19,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,10%,579,43,54,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Infection,Infections and infestations,Yes,5%,579,3,6,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,15%,579,1,2,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Infusion related reaction,General disorders and administration site conditions,No,5%,579,32,34,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Infection,Infections and infestations,Yes,10%,579,41,44,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,15%,579,25,33,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Infection,Infections and infestations,Yes,5%,579,38,66,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,5%,579,22,30,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Infection,Infections and infestations,Yes,10%,579,22,22,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,15%,579,40,45,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,10%,579,35,46,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Infection,Infections and infestations,Yes,10%,579,14,18,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,10%,579,14,25,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT82030671,Cytopenia,Blood and lymphatic system disorders,No,10%,579,28,56,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 2,579
NCT68989080,Cytopenia,Blood and lymphatic system disorders,No,10%,646,50,52,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Infusion related reaction,General disorders and administration site conditions,No,5%,646,30,33,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Infusion related reaction,General disorders and administration site conditions,No,15%,646,12,16,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Infusion related reaction,General disorders and administration site conditions,No,15%,646,50,83,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Cytopenia,Blood and lymphatic system disorders,No,5%,646,25,42,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Cytopenia,Blood and lymphatic system disorders,No,5%,646,22,34,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Infusion related reaction,General disorders and administration site conditions,No,10%,646,9,18,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Infection,Infections and infestations,Yes,15%,646,2,2,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Cytopenia,Blood and lymphatic system disorders,No,10%,646,5,8,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Infection,Infections and infestations,Yes,10%,646,28,42,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT68989080,Cytopenia,Blood and lymphatic system disorders,No,10%,646,27,50,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 3,646
NCT69137751,Infection,Infections and infestations,Yes,15%,983,13,26,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,983
NCT69137751,Infusion related reaction,General disorders and administration site conditions,No,10%,983,7,10,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,983
NCT69137751,Cytopenia,Blood and lymphatic system disorders,No,15%,983,1,1,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,983
NCT69137751,Infection,Infections and infestations,Yes,15%,983,10,11,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 3,983
NCT48835969,Cytopenia,Blood and lymphatic system disorders,No,15%,766,39,49,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infusion related reaction,General disorders and administration site conditions,No,5%,766,31,47,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infusion related reaction,General disorders and administration site conditions,No,10%,766,25,50,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Cytopenia,Blood and lymphatic system disorders,No,15%,766,4,6,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infusion related reaction,General disorders and administration site conditions,No,5%,766,1,2,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Cytopenia,Blood and lymphatic system disorders,No,15%,766,21,23,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Cytopenia,Blood and lymphatic system disorders,No,5%,766,31,32,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infection,Infections and infestations,Yes,15%,766,19,32,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Cytopenia,Blood and lymphatic system disorders,No,15%,766,21,24,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Cytopenia,Blood and lymphatic system disorders,No,5%,766,46,51,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infection,Infections and infestations,Yes,15%,766,21,41,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infection,Infections and infestations,Yes,15%,766,24,33,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT48835969,Infection,Infections and infestations,Yes,15%,766,32,59,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,766
NCT59816313,Infection,Infections and infestations,Yes,10%,526,9,16,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,526
NCT59816313,Infusion related reaction,General disorders and administration site conditions,No,5%,526,27,30,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,526
NCT59816313,Infusion related reaction,General disorders and administration site conditions,No,10%,526,1,2,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,526
NCT59816313,Infusion related reaction,General disorders and administration site conditions,No,15%,526,37,52,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,526
NCT59816313,Infection,Infections and infestations,Yes,15%,526,24,30,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,526
NCT59816313,Infusion related reaction,General disorders and administration site conditions,No,15%,526,34,67,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,526
NCT57743063,Infusion related reaction,General disorders and administration site conditions,No,10%,149,6,11,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Cytopenia,Blood and lymphatic system disorders,No,10%,149,7,7,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Infusion related reaction,General disorders and administration site conditions,No,15%,149,5,5,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Infusion related reaction,General disorders and administration site conditions,No,15%,149,11,11,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Infection,Infections and infestations,Yes,15%,149,14,16,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Cytopenia,Blood and lymphatic system disorders,No,10%,149,14,24,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Cytopenia,Blood and lymphatic system disorders,No,5%,149,3,4,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Cytopenia,Blood and lymphatic system disorders,No,5%,149,10,16,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Cytopenia,Blood and lymphatic system disorders,No,15%,149,9,10,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Infusion related reaction,General disorders and administration site conditions,No,15%,149,2,2,All Causality,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT57743063,Infusion related reaction,General disorders and administration site conditions,No,10%,149,3,4,Treatment Emergent,Rituximab,Anti-CD20,Leukemia,Phase 4,149
NCT91513091,Infusion related reaction,General disorders and administration site conditions,No,10%,480,30,31,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,5%,480,35,66,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,5%,480,11,19,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infection,Infections and infestations,Yes,10%,480,19,31,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,15%,480,34,62,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infusion related reaction,General disorders and administration site conditions,No,10%,480,9,18,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infection,Infections and infestations,Yes,10%,480,38,50,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,15%,480,41,68,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infusion related reaction,General disorders and administration site conditions,No,5%,480,46,58,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,10%,480,48,81,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,10%,480,34,55,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infusion related reaction,General disorders and administration site conditions,No,5%,480,20,22,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infusion related reaction,General disorders and administration site conditions,No,15%,480,40,54,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Infusion related reaction,General disorders and administration site conditions,No,5%,480,3,3,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT91513091,Cytopenia,Blood and lymphatic system disorders,No,15%,480,41,53,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,480
NCT24762298,Infusion related reaction,General disorders and administration site conditions,No,10%,390,13,25,Treatment Emergent,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,390
NCT24762298,Infection,Infections and infestations,Yes,5%,390,20,40,All Causality,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,390
