nct_id,antibody_name,antibody_category,indication,phase,enrollment,adverse_event_term,organ_system,serious,severity,assessed_participants,affected_participants,events,fraction_affected_%,is_failed_candidate,failure_reason,dose_mg_m2,duration_days,reversible,manageable,management_strategy,time_to_onset_days,resolution_days
NCT78927629,Rituximab,Anti-CD20,Rheumatoid Arthritis,Phase 1,101,Arthralgia,Cardiac disorders,No,Mild,101,9,14,8.91,No,,20,76,No,No,Supportive care,17,80
NCT63073574,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 3,343,Rash,Skin disorders,No,Moderate,343,28,30,8.16,No,,5,233,Yes,Yes,Treatment interruption,16,81
NCT69408494,Rituximab,Anti-CD20,Melanoma,Phase 3,188,Thrombocytopenia,Blood disorders,Yes,Mild,188,52,52,27.66,No,,6,265,Yes,No,Discontinuation,16,7
NCT61073682,Rituximab,Anti-CD20,Melanoma,Phase 2,244,Rash,Blood disorders,No,Mild,244,20,24,8.2,No,,4,328,Yes,Yes,Treatment interruption,10,70
NCT74526527,Rituximab,Anti-CD20,Lung Cancer,Phase 1,356,Colitis,Blood disorders,No,Mild,356,72,77,20.22,No,,12,327,Yes,Yes,Supportive care,20,54
NCT62698991,Rituximab,Anti-CD20,Breast Cancer,Phase 1,442,Cardiotoxicity,Respiratory disorders,No,Mild,442,128,131,28.96,No,,9,38,No,Yes,Supportive care,2,25
NCT30448127,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,411,Nausea,Hepatobiliary disorders,No,Mild,411,70,72,17.03,No,,4,297,No,No,Supportive care,6,12
NCT27702894,Rituximab,Anti-CD20,Breast Cancer,Phase 4,95,Nausea,Skin disorders,No,Moderate,95,3,5,3.16,No,,13,87,No,Yes,Discontinuation,25,85
NCT81152410,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,498,Hyperthyroidism,Blood disorders,No,Mild,498,58,60,11.65,No,,17,177,No,Yes,Treatment interruption,1,16
NCT74057704,Rituximab,Anti-CD20,Multiple Myeloma,Phase 2,77,Anemia,Endocrine disorders,No,Moderate,77,20,23,25.97,No,,18,336,No,Yes,Discontinuation,21,47
NCT10516448,Rituximab,Anti-CD20,Multiple Myeloma,Phase 1,232,Hyperthyroidism,Respiratory disorders,Yes,Moderate,232,56,61,24.14,Yes,Lack of efficacy,11,53,Yes,No,Discontinuation,24,43
NCT69642321,Rituximab,Anti-CD20,Lung Cancer,Phase 4,169,Rash,Skin disorders,Yes,Severe,169,6,10,3.55,Yes,Competition,6,81,No,No,Supportive care,20,45
NCT81214834,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 4,355,Colitis,Skin disorders,No,Moderate,355,42,46,11.83,No,,3,104,No,Yes,Supportive care,17,47
NCT32381556,Rituximab,Anti-CD20,Multiple Myeloma,Phase 2,276,Pneumonitis,Gastrointestinal disorders,No,Mild,276,53,58,19.2,No,,13,284,No,No,Dose reduction,1,33
NCT88756077,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,204,Hepatotoxicity,Respiratory disorders,No,Moderate,204,30,34,14.71,No,,10,60,No,Yes,Discontinuation,22,66
NCT61568412,Rituximab,Anti-CD20,Lung Cancer,Phase 1,149,Pneumonitis,Respiratory disorders,No,Moderate,149,41,45,27.52,No,,13,74,Yes,No,Discontinuation,3,41
NCT56257719,Rituximab,Anti-CD20,Melanoma,Phase 4,73,Rash,Skin disorders,No,Moderate,73,4,8,5.48,No,,2,258,Yes,No,Discontinuation,12,14
NCT12612786,Rituximab,Anti-CD20,Colorectal Cancer,Phase 4,479,Hyperthyroidism,Endocrine disorders,No,Mild,479,94,95,19.62,No,,6,119,No,No,Treatment interruption,23,77
NCT65890467,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 3,192,Diarrhea,Respiratory disorders,No,Moderate,192,37,42,19.27,Yes,Safety concerns,4,86,Yes,Yes,Discontinuation,22,28
NCT95821730,Rituximab,Anti-CD20,Rheumatoid Arthritis,Phase 1,217,Infusion-related reaction,Cardiac disorders,No,Severe,217,38,43,17.51,Yes,Safety concerns,12,270,No,No,Dose reduction,4,42
NCT58445173,Rituximab,Anti-CD20,Colorectal Cancer,Phase 2,288,Hypothyroidism,Hepatobiliary disorders,Yes,Severe,288,79,79,27.43,No,,11,281,No,No,Discontinuation,11,86
NCT66001287,Rituximab,Anti-CD20,Colorectal Cancer,Phase 3,128,Rash,Hepatobiliary disorders,No,Moderate,128,7,7,5.47,No,,20,108,Yes,Yes,Dose reduction,7,3
NCT97051422,Rituximab,Anti-CD20,Melanoma,Phase 2,175,Rash,Respiratory disorders,No,Mild,175,19,19,10.86,No,,18,94,No,Yes,Dose reduction,25,24
NCT83168992,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 2,83,Diarrhea,Gastrointestinal disorders,No,Moderate,83,3,5,3.61,No,,10,212,No,No,Discontinuation,21,26
NCT42543181,Rituximab,Anti-CD20,Breast Cancer,Phase 2,39,Pneumonitis,Blood disorders,No,Mild,39,9,11,23.08,No,,18,62,No,No,Supportive care,12,53
NCT85239579,Rituximab,Anti-CD20,Lung Cancer,Phase 4,146,Hepatotoxicity,Endocrine disorders,No,Moderate,146,37,41,25.34,No,,2,155,Yes,Yes,Treatment interruption,1,50
NCT10414100,Rituximab,Anti-CD20,Lung Cancer,Phase 3,300,Anemia,Hepatobiliary disorders,No,Severe,300,78,81,26.0,No,,6,142,No,Yes,Treatment interruption,21,63
NCT88726017,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 2,151,Hepatotoxicity,Gastrointestinal disorders,No,Moderate,151,24,24,15.89,No,,15,256,No,Yes,Discontinuation,11,40
NCT15051915,Rituximab,Anti-CD20,Colorectal Cancer,Phase 4,145,Hepatotoxicity,Cardiac disorders,No,Mild,145,4,7,2.76,No,,5,75,No,Yes,Dose reduction,30,54
NCT83734863,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,317,Arthralgia,Endocrine disorders,Yes,Severe,317,86,86,27.13,Yes,Regulatory issues,4,353,No,No,Dose reduction,12,82
NCT51957625,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 2,475,Fatigue,Respiratory disorders,No,Severe,475,25,28,5.26,No,,14,160,Yes,No,Dose reduction,18,76
NCT96054027,Rituximab,Anti-CD20,Colorectal Cancer,Phase 3,150,Thrombocytopenia,Cardiac disorders,Yes,Severe,150,25,26,16.67,No,,5,332,No,Yes,Discontinuation,12,17
NCT34968081,Rituximab,Anti-CD20,Colorectal Cancer,Phase 1,458,Infusion-related reaction,Musculoskeletal disorders,No,Mild,458,63,63,13.76,No,,5,160,No,Yes,Treatment interruption,21,49
NCT99114422,Rituximab,Anti-CD20,Melanoma,Phase 2,492,Thrombocytopenia,Blood disorders,Yes,Mild,492,133,137,27.03,No,,4,80,No,Yes,Treatment interruption,28,55
NCT55309473,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 4,218,Infusion-related reaction,General disorders,No,Mild,218,37,40,16.97,No,,1,248,No,Yes,Treatment interruption,29,57
NCT54012184,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 2,106,Cardiotoxicity,Gastrointestinal disorders,No,Mild,106,18,19,16.98,No,,6,232,No,No,Supportive care,20,60
NCT23095801,Rituximab,Anti-CD20,Colorectal Cancer,Phase 3,328,Nausea,Cardiac disorders,Yes,Mild,328,93,98,28.35,No,,20,280,Yes,Yes,Supportive care,7,16
NCT47785010,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,360,Hypothyroidism,Skin disorders,No,Mild,360,64,68,17.78,No,,16,300,Yes,No,Treatment interruption,2,31
NCT15489221,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,303,Neutropenia,Respiratory disorders,No,Mild,303,36,41,11.88,No,,14,298,No,Yes,Discontinuation,12,17
NCT60721582,Rituximab,Anti-CD20,Multiple Sclerosis,Phase 1,354,Diarrhea,Endocrine disorders,No,Moderate,354,86,88,24.29,No,,20,125,Yes,Yes,Discontinuation,19,25
NCT94826032,Rituximab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,225,Pneumonitis,Skin disorders,No,Moderate,225,14,17,6.22,No,,9,33,No,Yes,Dose reduction,10,69
NCT46442649,Rituximab,Anti-CD20,Melanoma,Phase 1,140,Anemia,Endocrine disorders,Yes,Moderate,140,25,26,17.86,Yes,Regulatory issues,7,360,Yes,No,Supportive care,20,8
NCT36136160,Rituximab,Anti-CD20,Multiple Myeloma,Phase 1,328,Cardiotoxicity,Blood disorders,Yes,Mild,328,19,20,5.79,Yes,Safety concerns,11,154,No,No,Supportive care,10,10
NCT76520512,Rituximab,Anti-CD20,Lung Cancer,Phase 1,253,Diarrhea,Gastrointestinal disorders,No,Severe,253,22,27,8.7,Yes,Regulatory issues,2,84,Yes,Yes,Dose reduction,24,60
NCT20573464,Rituximab,Anti-CD20,Melanoma,Phase 4,314,Nausea,Hepatobiliary disorders,No,Severe,314,29,33,9.24,No,,8,134,No,Yes,Discontinuation,11,31
NCT86142637,Rituximab,Anti-CD20,Colorectal Cancer,Phase 1,216,Pneumonitis,Skin disorders,No,Mild,216,51,52,23.61,No,,5,123,Yes,Yes,Supportive care,10,58
NCT92702209,Rituximab,Anti-CD20,Colorectal Cancer,Phase 3,397,Arthralgia,Skin disorders,No,Moderate,397,75,77,18.89,No,,3,115,Yes,Yes,Discontinuation,30,87
NCT31597256,Rituximab,Anti-CD20,Colorectal Cancer,Phase 1,86,Nausea,Skin disorders,No,Moderate,86,25,27,29.07,No,,3,161,Yes,Yes,Treatment interruption,11,44
NCT65287679,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 4,446,Cardiotoxicity,Skin disorders,No,Moderate,446,54,56,12.11,No,,3,283,Yes,No,Supportive care,2,6
NCT79785576,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 3,299,Thrombocytopenia,Respiratory disorders,No,Mild,299,73,73,24.41,No,,20,199,Yes,Yes,Discontinuation,15,8
NCT99020283,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 3,230,Colitis,Blood disorders,No,Mild,230,11,13,4.78,No,,17,226,Yes,No,Treatment interruption,24,85
NCT53343772,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 4,363,Colitis,General disorders,No,Moderate,363,90,95,24.79,No,,11,40,No,No,Discontinuation,11,88
NCT73981535,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 3,344,Hyperthyroidism,Endocrine disorders,Yes,Severe,344,81,86,23.55,Yes,Safety concerns,8,106,No,No,Treatment interruption,22,32
NCT72954010,Obinutuzumab,Anti-CD20,Melanoma,Phase 4,229,Rash,Musculoskeletal disorders,No,Mild,229,26,29,11.35,No,,2,356,Yes,No,Discontinuation,10,33
NCT68039709,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 1,401,Arthralgia,Blood disorders,No,Mild,401,77,79,19.2,No,,16,322,No,Yes,Dose reduction,13,72
NCT70319076,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 1,74,Arthralgia,Gastrointestinal disorders,No,Mild,74,10,12,13.51,No,,12,345,No,No,Treatment interruption,14,45
NCT27049990,Obinutuzumab,Anti-CD20,Lung Cancer,Phase 2,320,Diarrhea,Gastrointestinal disorders,No,Mild,320,6,7,1.88,No,,13,312,No,No,Discontinuation,24,19
NCT81683219,Obinutuzumab,Anti-CD20,Lung Cancer,Phase 1,41,Thrombocytopenia,Hepatobiliary disorders,Yes,Mild,41,4,8,9.76,No,,14,285,No,No,Supportive care,1,88
NCT88573104,Obinutuzumab,Anti-CD20,Lung Cancer,Phase 2,96,Infusion-related reaction,Skin disorders,No,Moderate,96,26,26,27.08,Yes,Safety concerns,18,243,No,Yes,Discontinuation,23,69
NCT22913708,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 1,486,Hepatotoxicity,General disorders,No,Severe,486,61,64,12.55,Yes,Regulatory issues,7,258,Yes,Yes,Dose reduction,29,44
NCT89989819,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 4,432,Fatigue,Respiratory disorders,No,Mild,432,25,30,5.79,No,,17,95,No,No,Supportive care,21,52
NCT34872554,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 1,426,Rash,Skin disorders,No,Mild,426,99,99,23.24,No,,11,115,Yes,No,Discontinuation,28,72
NCT71410139,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 3,141,Diarrhea,Hepatobiliary disorders,No,Moderate,141,28,30,19.86,No,,14,346,Yes,Yes,Supportive care,7,14
NCT46439322,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,361,Hepatotoxicity,Musculoskeletal disorders,Yes,Severe,361,15,19,4.16,No,,17,365,Yes,Yes,Supportive care,2,46
NCT99575695,Obinutuzumab,Anti-CD20,Lung Cancer,Phase 4,398,Anemia,Musculoskeletal disorders,No,Mild,398,110,110,27.64,No,,13,208,No,No,Dose reduction,22,71
NCT32768859,Obinutuzumab,Anti-CD20,Melanoma,Phase 3,274,Cardiotoxicity,General disorders,No,Moderate,274,30,32,10.95,Yes,Competition,1,251,No,No,Dose reduction,11,11
NCT80057787,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 1,399,Anemia,Musculoskeletal disorders,No,Mild,399,70,71,17.54,No,,15,131,No,Yes,Supportive care,11,1
NCT17804205,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 3,341,Neutropenia,Skin disorders,No,Mild,341,31,32,9.09,No,,10,248,Yes,No,Supportive care,20,59
NCT25329894,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 4,163,Rash,Hepatobiliary disorders,No,Mild,163,33,33,20.25,No,,5,47,Yes,Yes,Discontinuation,12,77
NCT42861397,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 2,85,Colitis,Gastrointestinal disorders,No,Severe,85,21,22,24.71,No,,6,120,Yes,Yes,Treatment interruption,2,15
NCT40031461,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 3,397,Hepatotoxicity,Musculoskeletal disorders,No,Severe,397,115,118,28.97,No,,6,192,Yes,No,Dose reduction,17,21
NCT27024957,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 3,112,Neutropenia,Gastrointestinal disorders,No,Severe,112,24,26,21.43,No,,14,108,Yes,No,Supportive care,14,53
NCT22728178,Obinutuzumab,Anti-CD20,Melanoma,Phase 2,68,Infusion-related reaction,Skin disorders,No,Mild,68,15,20,22.06,No,,7,270,No,No,Treatment interruption,1,3
NCT76325293,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 1,374,Anemia,Skin disorders,No,Severe,374,45,47,12.03,No,,8,188,Yes,No,Dose reduction,28,84
NCT26244780,Obinutuzumab,Anti-CD20,Melanoma,Phase 4,372,Hyperthyroidism,Respiratory disorders,No,Severe,372,86,89,23.12,Yes,Regulatory issues,3,278,No,Yes,Dose reduction,27,36
NCT67245988,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 4,319,Hypothyroidism,Endocrine disorders,Yes,Severe,319,26,29,8.15,No,,19,315,No,Yes,Dose reduction,5,29
NCT36661875,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 2,169,Colitis,Skin disorders,Yes,Mild,169,10,15,5.92,No,,1,170,Yes,No,Treatment interruption,6,53
NCT13892094,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 3,56,Hepatotoxicity,Musculoskeletal disorders,No,Mild,56,15,18,26.79,No,,10,301,No,No,Dose reduction,1,4
NCT19103992,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 4,295,Rash,Musculoskeletal disorders,No,Mild,295,31,34,10.51,No,,18,220,No,Yes,Dose reduction,19,43
NCT61202363,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,410,Anemia,General disorders,No,Mild,410,7,10,1.71,No,,5,324,No,No,Treatment interruption,27,69
NCT28894326,Obinutuzumab,Anti-CD20,Melanoma,Phase 4,422,Fatigue,Blood disorders,Yes,Severe,422,62,67,14.69,No,,5,345,No,Yes,Dose reduction,14,21
NCT41406446,Obinutuzumab,Anti-CD20,Melanoma,Phase 4,236,Infusion-related reaction,Blood disorders,Yes,Severe,236,33,33,13.98,Yes,Lack of efficacy,17,143,Yes,Yes,Discontinuation,3,85
NCT75129044,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 2,325,Diarrhea,Hepatobiliary disorders,No,Mild,325,26,30,8.0,No,,10,307,Yes,Yes,Supportive care,6,59
NCT28030885,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 2,233,Infusion-related reaction,Musculoskeletal disorders,No,Severe,233,24,29,10.3,Yes,Regulatory issues,11,135,No,Yes,Treatment interruption,30,59
NCT86685806,Obinutuzumab,Anti-CD20,Melanoma,Phase 3,171,Anemia,Endocrine disorders,No,Severe,171,2,5,1.17,Yes,Lack of efficacy,14,136,No,Yes,Treatment interruption,26,87
NCT26385094,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 3,306,Rash,Cardiac disorders,No,Mild,306,28,33,9.15,No,,20,220,Yes,No,Dose reduction,26,82
NCT23786007,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 4,369,Arthralgia,Skin disorders,No,Mild,369,57,60,15.45,Yes,Competition,4,349,Yes,No,Discontinuation,24,86
NCT53168780,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 1,42,Neutropenia,Blood disorders,No,Severe,42,9,12,21.43,No,,16,40,Yes,Yes,Treatment interruption,13,61
NCT50098373,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 4,252,Infusion-related reaction,Hepatobiliary disorders,No,Mild,252,21,26,8.33,No,,2,34,Yes,No,Supportive care,6,76
NCT83721814,Obinutuzumab,Anti-CD20,Melanoma,Phase 4,480,Hypothyroidism,Endocrine disorders,Yes,Severe,480,84,85,17.5,No,,11,295,No,No,Treatment interruption,6,68
NCT78372430,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,298,Diarrhea,Musculoskeletal disorders,No,Mild,298,60,65,20.13,No,,4,282,Yes,No,Dose reduction,24,52
NCT18605111,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 1,326,Rash,Blood disorders,No,Mild,326,77,79,23.62,No,,13,45,No,Yes,Dose reduction,29,16
NCT29417704,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 2,123,Anemia,Gastrointestinal disorders,No,Severe,123,33,33,26.83,Yes,Regulatory issues,12,178,Yes,No,Discontinuation,17,80
NCT35438658,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 4,434,Pneumonitis,Skin disorders,No,Severe,434,118,122,27.19,No,,9,156,Yes,Yes,Dose reduction,23,72
NCT28932188,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 4,239,Hypothyroidism,Skin disorders,No,Moderate,239,58,61,24.27,No,,3,356,No,Yes,Discontinuation,24,27
NCT60493289,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 2,308,Rash,Hepatobiliary disorders,No,Severe,308,11,15,3.57,No,,11,363,Yes,No,Discontinuation,22,65
NCT49694418,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 2,56,Anemia,Cardiac disorders,No,Mild,56,10,14,17.86,No,,16,210,No,Yes,Dose reduction,20,58
NCT50586477,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 2,359,Cardiotoxicity,Skin disorders,No,Moderate,359,69,69,19.22,No,,18,71,No,Yes,Treatment interruption,1,2
NCT17559063,Obinutuzumab,Anti-CD20,Melanoma,Phase 4,433,Thrombocytopenia,Skin disorders,No,Mild,433,10,10,2.31,No,,4,191,No,No,Discontinuation,14,23
NCT88010908,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 2,54,Nausea,Hepatobiliary disorders,No,Moderate,54,1,3,1.85,Yes,Safety concerns,4,342,Yes,No,Dose reduction,17,52
NCT58957056,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 2,100,Diarrhea,Respiratory disorders,Yes,Mild,100,22,25,22.0,No,,14,316,No,Yes,Dose reduction,2,87
NCT61810124,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 2,435,Cardiotoxicity,Gastrointestinal disorders,No,Moderate,435,128,131,29.43,No,,6,105,Yes,No,Treatment interruption,11,39
NCT81821019,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 3,132,Hepatotoxicity,Respiratory disorders,No,Moderate,132,18,20,13.64,No,,6,205,No,No,Discontinuation,10,21
NCT37541691,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 1,208,Hepatotoxicity,Hepatobiliary disorders,No,Moderate,208,12,13,5.77,No,,9,282,Yes,Yes,Discontinuation,28,66
NCT91319817,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 1,482,Pneumonitis,Cardiac disorders,Yes,Moderate,482,124,125,25.73,Yes,Lack of efficacy,20,359,No,No,Discontinuation,8,7
NCT77076917,Obinutuzumab,Anti-CD20,Rheumatoid Arthritis,Phase 4,197,Arthralgia,Respiratory disorders,No,Moderate,197,37,37,18.78,No,,4,34,No,No,Discontinuation,25,88
NCT73722965,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 2,118,Hyperthyroidism,Blood disorders,No,Severe,118,10,11,8.47,No,,17,317,Yes,Yes,Treatment interruption,19,10
NCT64947021,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 4,489,Fatigue,Blood disorders,No,Mild,489,74,75,15.13,No,,3,308,Yes,No,Dose reduction,2,1
NCT21563298,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 2,352,Diarrhea,Skin disorders,No,Mild,352,28,33,7.95,No,,1,250,No,Yes,Treatment interruption,6,90
NCT60686307,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 4,246,Fatigue,Cardiac disorders,No,Mild,246,27,32,10.98,No,,8,275,No,Yes,Supportive care,12,11
NCT26268184,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 1,140,Thrombocytopenia,Endocrine disorders,No,Mild,140,13,13,9.29,No,,17,101,No,Yes,Dose reduction,22,35
NCT43391088,Obinutuzumab,Anti-CD20,Melanoma,Phase 2,253,Arthralgia,Gastrointestinal disorders,Yes,Mild,253,72,76,28.46,No,,17,31,No,Yes,Discontinuation,6,81
NCT95233758,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 1,401,Colitis,Endocrine disorders,No,Moderate,401,67,70,16.71,Yes,Regulatory issues,16,150,Yes,No,Discontinuation,25,66
NCT49279009,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 2,223,Diarrhea,Skin disorders,No,Severe,223,63,66,28.25,Yes,Lack of efficacy,18,341,Yes,Yes,Dose reduction,25,36
NCT46209817,Obinutuzumab,Anti-CD20,Breast Cancer,Phase 4,334,Fatigue,Cardiac disorders,No,Severe,334,36,36,10.78,No,,15,243,No,Yes,Dose reduction,10,88
NCT28134594,Obinutuzumab,Anti-CD20,Colorectal Cancer,Phase 1,329,Cardiotoxicity,Gastrointestinal disorders,No,Mild,329,3,6,0.91,No,,5,133,No,Yes,Treatment interruption,24,32
NCT33075580,Obinutuzumab,Anti-CD20,Lung Cancer,Phase 1,175,Neutropenia,Endocrine disorders,No,Mild,175,52,54,29.71,No,,3,353,No,No,Discontinuation,28,51
NCT78610284,Obinutuzumab,Anti-CD20,Non-Hodgkin Lymphoma,Phase 1,147,Arthralgia,Skin disorders,No,Moderate,147,30,33,20.41,No,,12,191,No,Yes,Supportive care,1,79
NCT44191517,Obinutuzumab,Anti-CD20,Multiple Myeloma,Phase 1,197,Cardiotoxicity,Endocrine disorders,No,Moderate,197,47,52,23.86,No,,14,181,Yes,Yes,Dose reduction,29,26
NCT38751841,Obinutuzumab,Anti-CD20,Multiple Sclerosis,Phase 1,372,Fatigue,Skin disorders,Yes,Severe,372,7,8,1.88,Yes,Lack of efficacy,17,297,Yes,Yes,Supportive care,11,58
