rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT52590,Rituximab,Anti-CD20,Crossover,Placebo,Phase 1,260,9,Weekly,83,≥18,50% M/50% F,1-2,3,2,Mild impairment,Neutropenia,Hematological,Skin,Moderate,1,20.17,No,Yes,Dose reduction,Dose adjustment,5,18,Yes,Discontinuation,No,No,No,Efficacy,,Unknown,Gender,Low
RCT57118,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 1,284,6,Weekly,84,18-75,50% M/50% F,0-1,3,3,Normal,Nausea,Dermatological,Cardiac,Severe,2,7.78,No,No,Dose reduction,Dose adjustment,4,51,No,None,No,No,Yes,Efficacy,Yes,Unknown,Age,Low
RCT82947,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 3,171,13,Monthly,110,18-65,40% M/60% F,1-2,1,1,Mild impairment,Fatigue,Cardiac,Gastrointestinal,Severe,2,27.32,Yes,Yes,Discontinuation,Monitoring,3,38,Yes,Discontinuation,No,Yes,No,Competition,Yes,Negative,ECOG,Low
RCT92988,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,88,14,Monthly,170,≥18,40% M/60% F,1-2,0,0,Moderate impairment,Nausea,Dermatological,Hepatic,Moderate,5,7.21,No,Yes,Supportive care,Premedication,9,57,No,Delay,Yes,Yes,Yes,,No,Negative,Age,Unknown
RCT17194,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 1,81,2,Weekly,71,21-85,50% M/50% F,0-2,4,0,Moderate impairment,Fatigue,Hematological,Gastrointestinal,Mild,4,23.42,Yes,Yes,Treatment hold,Dose adjustment,27,15,Yes,Delay,Yes,Yes,No,Efficacy,Yes,Positive,Gender,Medium
RCT73562,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 3,151,11,Every 3 weeks,57,≥18,40% M/60% F,0-2,4,3,Mild impairment,Neutropenia,Hepatic,Skin,Mild,1,13.03,Yes,No,Treatment hold,Dose adjustment,15,52,Yes,Delay,Yes,Yes,No,Efficacy,No,Negative,ECOG,Medium
RCT97104,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 3,116,1,Weekly,60,18-75,40% M/60% F,0-2,3,1,Normal,Rash,Gastrointestinal,Hepatic,Moderate,4,11.67,No,Yes,Treatment hold,Premedication,3,20,No,Discontinuation,Yes,No,Yes,Regulatory,No,Unknown,None,Low
RCT49508,Pembrolizumab,Anti-PD-1,Crossover,None,Phase 1,234,5,Every 3 weeks,98,21-85,50% M/50% F,1-2,4,1,Moderate impairment,Fatigue,Dermatological,Skin,Mild,5,15.91,Yes,Yes,Dose reduction,Patient education,18,41,Yes,Discontinuation,No,Yes,No,Competition,,Positive,Age,Low
RCT45202,Bevacizumab,Anti-VEGF,Single-arm,Active comparator,Phase 1,62,5,Weekly,139,18-65,50% M/50% F,0-1,5,1,Mild impairment,Neutropenia,Gastrointestinal,Hepatic,Mild,5,25.52,Yes,Yes,Dose reduction,Patient education,4,16,Yes,None,No,No,Yes,Regulatory,Yes,Negative,None,High
RCT29827,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 3,27,12,Bi-weekly,49,21-85,60% M/40% F,0-2,0,1,Mild impairment,Nausea,Hematological,Gastrointestinal,Severe,3,27.39,No,Yes,Treatment hold,Monitoring,16,25,No,None,No,Yes,No,Regulatory,No,Unknown,Age,Low
RCT62598,Rituximab,Anti-CD20,Single-arm,None,Phase 3,159,6,Every 3 weeks,86,21-85,60% M/40% F,0-1,4,0,Mild impairment,Infusion reaction,Hepatic,Gastrointestinal,Severe,2,21.06,Yes,Yes,Supportive care,Patient education,27,8,No,Delay,Yes,Yes,Yes,Regulatory,Yes,Negative,ECOG,Low
RCT15283,Trastuzumab,Anti-HER2,Crossover,None,Phase 1,233,14,Weekly,163,18-75,40% M/60% F,0-1,2,3,Moderate impairment,Rash,Dermatological,Cardiac,Severe,3,13.37,Yes,No,Discontinuation,Monitoring,5,13,No,Reduction,No,Yes,Yes,Efficacy,Yes,Negative,Age,Medium
RCT94987,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 2,246,13,Monthly,43,18-75,60% M/40% F,1-2,0,0,Normal,Fatigue,Hematological,Cardiac,Mild,1,25.97,Yes,No,Supportive care,Dose adjustment,11,36,Yes,Reduction,No,Yes,No,Competition,No,Positive,Age,High
RCT47189,Bevacizumab,Anti-VEGF,Randomized,None,Phase 3,198,7,Weekly,173,≥18,50% M/50% F,1-2,5,3,Mild impairment,Fatigue,Cardiac,Skin,Mild,3,28.31,No,Yes,Treatment hold,Premedication,7,14,No,Reduction,Yes,No,No,Efficacy,Yes,None,None,Low
RCT59623,Cetuximab,Anti-EGFR,Crossover,None,Phase 3,251,15,Bi-weekly,97,18-75,60% M/40% F,1-2,4,3,Moderate impairment,Rash,Cardiac,Skin,Moderate,5,16.81,No,No,Treatment hold,Monitoring,1,10,No,Reduction,No,No,Yes,Efficacy,No,Negative,Gender,High
RCT33822,Rituximab,Anti-CD20,Crossover,Placebo,Phase 1,120,6,Weekly,93,18-75,40% M/60% F,1-2,0,0,Moderate impairment,Neutropenia,Dermatological,Blood,Mild,2,19.9,No,Yes,Treatment hold,Monitoring,13,4,Yes,Discontinuation,Yes,Yes,Yes,Efficacy,,None,Age,High
RCT70589,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 2,241,15,Bi-weekly,67,21-85,60% M/40% F,1-2,1,3,Moderate impairment,Rash,Gastrointestinal,Blood,Moderate,4,6.04,No,No,Dose reduction,Monitoring,6,26,Yes,Discontinuation,Yes,Yes,Yes,Safety,Yes,None,Age,Low
RCT13104,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 2,274,1,Monthly,55,18-75,40% M/60% F,0-2,2,0,Normal,Nausea,Gastrointestinal,Hepatic,Severe,2,28.37,No,No,Treatment hold,Patient education,2,12,No,Delay,No,No,No,Regulatory,No,Negative,Prior treatments,Low
RCT41688,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 1,175,3,Bi-weekly,76,18-75,60% M/40% F,1-2,4,2,Moderate impairment,Rash,Hematological,Gastrointestinal,Mild,1,16.16,Yes,Yes,Discontinuation,Monitoring,3,20,No,None,No,Yes,Yes,Competition,Yes,Negative,Age,Medium
RCT31992,Cetuximab,Anti-EGFR,Crossover,None,Phase 1,199,11,Monthly,70,21-85,60% M/40% F,0-1,5,2,Mild impairment,Nausea,Dermatological,Cardiac,Severe,4,4.73,No,No,Discontinuation,Premedication,22,16,Yes,Reduction,Yes,Yes,No,Safety,No,Negative,Gender,Low
RCT65579,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,293,13,Every 3 weeks,158,18-65,50% M/50% F,0-1,2,1,Moderate impairment,Rash,Hematological,Cardiac,Mild,4,3.8,Yes,Yes,Discontinuation,Patient education,19,60,No,Discontinuation,Yes,No,Yes,Competition,No,Negative,Prior treatments,High
RCT39232,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 2,273,5,Monthly,63,21-85,40% M/60% F,0-1,4,0,Mild impairment,Neutropenia,Hematological,Skin,Mild,2,27.06,No,No,Discontinuation,Patient education,12,3,Yes,Reduction,No,Yes,No,,Yes,Unknown,None,Unknown
RCT17147,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,273,5,Every 3 weeks,72,≥18,40% M/60% F,1-2,0,0,Moderate impairment,Rash,Hepatic,Skin,Mild,1,11.17,Yes,No,Discontinuation,Monitoring,17,44,No,None,Yes,Yes,No,Safety,No,Unknown,Prior treatments,Low
RCT21869,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 2,196,5,Bi-weekly,65,21-85,60% M/40% F,0-1,4,0,Mild impairment,Infusion reaction,Dermatological,Skin,Moderate,2,23.42,Yes,No,Dose reduction,Patient education,7,57,Yes,Reduction,Yes,Yes,No,,No,None,Gender,Unknown
RCT30096,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 1,74,2,Monthly,148,18-65,40% M/60% F,0-2,4,2,Moderate impairment,Infusion reaction,Cardiac,Blood,Mild,2,23.66,No,No,Discontinuation,Monitoring,11,17,No,Discontinuation,Yes,No,Yes,Competition,No,None,Prior treatments,High
RCT49195,Rituximab,Anti-CD20,Randomized,Placebo,Phase 3,157,2,Weekly,38,18-65,60% M/40% F,0-2,0,3,Moderate impairment,Infusion reaction,Hepatic,Cardiac,Severe,5,16.06,Yes,Yes,Dose reduction,Dose adjustment,17,3,No,None,No,No,No,Efficacy,No,Positive,None,High
RCT94762,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 3,138,1,Weekly,117,18-65,60% M/40% F,1-2,1,1,Mild impairment,Rash,Cardiac,Blood,Severe,2,29.86,Yes,Yes,Supportive care,Premedication,16,4,Yes,Delay,Yes,No,Yes,Safety,No,Positive,Gender,Medium
RCT76938,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 3,272,8,Bi-weekly,45,18-75,60% M/40% F,0-2,0,2,Normal,Rash,Dermatological,Cardiac,Moderate,4,16.26,No,Yes,Supportive care,Patient education,26,60,Yes,Delay,Yes,No,Yes,Competition,,Negative,Gender,High
RCT56960,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 3,69,10,Bi-weekly,125,≥18,60% M/40% F,0-2,3,3,Moderate impairment,Nausea,Dermatological,Gastrointestinal,Moderate,3,16.07,No,Yes,Dose reduction,Premedication,2,47,Yes,Delay,No,Yes,No,Regulatory,,Positive,Age,Unknown
RCT98555,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 2,120,8,Monthly,36,18-75,50% M/50% F,0-1,2,0,Moderate impairment,Fatigue,Hepatic,Hepatic,Moderate,5,12.24,Yes,No,Treatment hold,Dose adjustment,1,59,No,Delay,Yes,No,Yes,Efficacy,Yes,Negative,Gender,Low
RCT25992,Rituximab,Anti-CD20,Crossover,None,Phase 1,226,11,Monthly,141,≥18,40% M/60% F,0-1,1,2,Normal,Rash,Cardiac,Blood,Severe,4,29.04,Yes,Yes,Discontinuation,Monitoring,24,9,No,Discontinuation,Yes,Yes,No,Regulatory,,Unknown,None,Medium
RCT19963,Trastuzumab,Anti-HER2,Crossover,None,Phase 3,163,8,Monthly,159,21-85,50% M/50% F,0-2,0,0,Moderate impairment,Infusion reaction,Hepatic,Cardiac,Mild,5,13.71,Yes,Yes,Discontinuation,Monitoring,13,9,No,Reduction,No,Yes,Yes,Regulatory,No,Unknown,Age,High
RCT30430,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 2,245,1,Bi-weekly,121,21-85,50% M/50% F,0-1,0,0,Mild impairment,Nausea,Hematological,Blood,Severe,1,7.83,No,Yes,Discontinuation,Premedication,18,5,Yes,None,Yes,No,No,Safety,,None,Gender,High
RCT76335,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 3,277,4,Weekly,126,18-75,50% M/50% F,1-2,2,0,Moderate impairment,Nausea,Hepatic,Hepatic,Severe,2,16.44,No,No,Discontinuation,Patient education,9,13,No,None,No,Yes,Yes,,Yes,Unknown,Age,Medium
RCT24368,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 1,42,6,Bi-weekly,162,18-65,60% M/40% F,1-2,0,1,Mild impairment,Nausea,Hematological,Blood,Severe,2,5.76,No,Yes,Supportive care,Patient education,9,29,Yes,Reduction,Yes,No,Yes,Competition,No,None,ECOG,Medium
RCT49743,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 2,83,13,Bi-weekly,57,18-75,60% M/40% F,1-2,4,2,Mild impairment,Nausea,Cardiac,Cardiac,Moderate,3,16.78,Yes,No,Treatment hold,Patient education,11,40,Yes,Delay,Yes,No,Yes,Efficacy,,Unknown,Prior treatments,Unknown
RCT82587,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 3,211,10,Monthly,150,21-85,50% M/50% F,0-2,5,1,Moderate impairment,Infusion reaction,Hematological,Gastrointestinal,Mild,3,26.11,Yes,No,Treatment hold,Monitoring,13,42,No,Reduction,Yes,No,No,Safety,,Positive,Gender,Medium
RCT22850,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 1,219,2,Every 3 weeks,129,18-65,60% M/40% F,1-2,1,3,Moderate impairment,Fatigue,Cardiac,Blood,Severe,2,23.96,Yes,Yes,Dose reduction,Monitoring,15,5,No,None,Yes,Yes,No,Safety,,Positive,None,Medium
RCT12828,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 1,56,8,Monthly,106,18-65,40% M/60% F,0-1,2,2,Normal,Neutropenia,Dermatological,Blood,Moderate,1,5.52,No,No,Treatment hold,Patient education,25,46,Yes,Delay,No,Yes,No,Safety,Yes,Positive,ECOG,Low
RCT29535,Cetuximab,Anti-EGFR,Crossover,None,Phase 2,67,4,Weekly,121,21-85,40% M/60% F,0-2,1,0,Mild impairment,Fatigue,Cardiac,Hepatic,Severe,5,8.68,Yes,No,Dose reduction,Premedication,4,55,Yes,Delay,Yes,No,Yes,,Yes,Positive,Prior treatments,Medium
RCT45858,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 2,145,8,Monthly,125,18-75,60% M/40% F,0-2,4,1,Moderate impairment,Neutropenia,Cardiac,Cardiac,Mild,2,13.01,No,Yes,Discontinuation,Premedication,1,24,Yes,None,No,No,No,,Yes,None,Age,Low
RCT59310,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 3,138,14,Bi-weekly,47,21-85,40% M/60% F,0-2,1,0,Mild impairment,Rash,Hematological,Hepatic,Moderate,3,29.89,Yes,No,Supportive care,Monitoring,10,9,Yes,Reduction,Yes,Yes,Yes,Efficacy,,Negative,ECOG,High
RCT53516,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 1,111,2,Every 3 weeks,131,21-85,60% M/40% F,0-2,5,3,Mild impairment,Neutropenia,Dermatological,Hepatic,Severe,4,10.52,Yes,Yes,Supportive care,Monitoring,12,9,No,Reduction,No,No,No,Competition,No,Negative,Age,Unknown
RCT72175,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 3,230,10,Bi-weekly,161,≥18,40% M/60% F,0-1,3,2,Normal,Fatigue,Dermatological,Hepatic,Moderate,2,17.5,No,Yes,Treatment hold,Premedication,5,20,Yes,Delay,No,Yes,No,Efficacy,No,Negative,Gender,High
RCT82469,Cetuximab,Anti-EGFR,Crossover,None,Phase 2,179,4,Weekly,76,18-75,40% M/60% F,0-2,3,1,Normal,Fatigue,Cardiac,Cardiac,Moderate,3,19.86,Yes,Yes,Treatment hold,Premedication,1,14,No,Reduction,Yes,Yes,No,Regulatory,No,Negative,Prior treatments,High
RCT23102,Rituximab,Anti-CD20,Crossover,None,Phase 2,25,1,Monthly,116,21-85,60% M/40% F,1-2,1,3,Mild impairment,Rash,Dermatological,Blood,Severe,5,29.87,No,No,Treatment hold,Patient education,12,36,Yes,Delay,Yes,Yes,No,Safety,Yes,None,None,Unknown
RCT31558,Trastuzumab,Anti-HER2,Crossover,None,Phase 2,266,3,Every 3 weeks,103,18-75,60% M/40% F,1-2,5,3,Mild impairment,Nausea,Gastrointestinal,Skin,Moderate,3,15.91,Yes,Yes,Dose reduction,Patient education,19,38,Yes,Discontinuation,Yes,No,Yes,Competition,No,Positive,Age,High
RCT72657,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 2,33,1,Weekly,122,≥18,50% M/50% F,0-1,5,1,Mild impairment,Rash,Hepatic,Cardiac,Mild,1,8.2,No,Yes,Discontinuation,Patient education,28,51,No,Delay,Yes,Yes,No,,,Positive,Age,Unknown
RCT41594,Bevacizumab,Anti-VEGF,Randomized,None,Phase 1,76,4,Every 3 weeks,65,18-75,50% M/50% F,1-2,5,1,Moderate impairment,Rash,Gastrointestinal,Hepatic,Moderate,4,14.92,No,Yes,Discontinuation,Patient education,24,57,Yes,Delay,No,Yes,No,Efficacy,Yes,Positive,Age,Unknown
RCT19058,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 3,183,2,Every 3 weeks,105,21-85,40% M/60% F,1-2,0,1,Normal,Infusion reaction,Hepatic,Cardiac,Moderate,3,26.3,No,No,Dose reduction,Dose adjustment,1,39,Yes,Discontinuation,Yes,Yes,Yes,Safety,No,Positive,Prior treatments,High
RCT69613,Rituximab,Anti-CD20,Randomized,None,Phase 3,224,4,Monthly,170,21-85,40% M/60% F,0-2,1,2,Moderate impairment,Nausea,Gastrointestinal,Cardiac,Moderate,1,16.46,Yes,Yes,Treatment hold,Patient education,2,27,No,Discontinuation,No,No,Yes,,Yes,Unknown,Age,Low
RCT18532,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,100,14,Bi-weekly,40,18-65,50% M/50% F,0-2,4,3,Normal,Rash,Cardiac,Cardiac,Mild,2,17.98,No,Yes,Discontinuation,Premedication,4,10,Yes,None,No,No,No,,,Positive,Gender,Unknown
RCT90870,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 2,29,8,Every 3 weeks,169,≥18,40% M/60% F,0-2,5,3,Mild impairment,Rash,Hematological,Blood,Mild,3,11.19,No,No,Supportive care,Monitoring,23,16,Yes,Delay,Yes,No,Yes,Efficacy,,Positive,ECOG,Unknown
RCT20365,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 2,279,5,Monthly,47,≥18,40% M/60% F,0-2,0,0,Moderate impairment,Nausea,Cardiac,Hepatic,Severe,5,4.88,No,Yes,Discontinuation,Monitoring,2,24,Yes,Reduction,No,No,No,Regulatory,,Unknown,Age,Low
RCT54884,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 1,133,12,Bi-weekly,129,18-75,50% M/50% F,0-1,4,0,Moderate impairment,Infusion reaction,Dermatological,Gastrointestinal,Moderate,3,29.33,No,Yes,Dose reduction,Patient education,2,33,Yes,Discontinuation,Yes,No,Yes,Competition,,Unknown,None,Unknown
RCT99931,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 2,172,4,Every 3 weeks,81,≥18,40% M/60% F,0-1,1,2,Mild impairment,Nausea,Dermatological,Skin,Severe,3,23.46,Yes,No,Dose reduction,Monitoring,8,54,No,None,Yes,No,No,,Yes,None,Gender,Unknown
RCT37028,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 3,30,2,Every 3 weeks,162,18-75,60% M/40% F,0-1,3,3,Moderate impairment,Neutropenia,Dermatological,Hepatic,Moderate,2,27.63,Yes,No,Discontinuation,Patient education,23,12,Yes,Discontinuation,No,No,No,Efficacy,,Positive,Age,Unknown
RCT59366,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 1,277,7,Weekly,30,≥18,50% M/50% F,1-2,3,0,Moderate impairment,Nausea,Gastrointestinal,Hepatic,Mild,1,13.4,Yes,Yes,Supportive care,Patient education,23,2,Yes,Delay,No,No,Yes,,Yes,Positive,Age,High
RCT27301,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 1,102,2,Bi-weekly,168,≥18,40% M/60% F,1-2,3,0,Normal,Fatigue,Gastrointestinal,Hepatic,Severe,5,25.47,Yes,Yes,Dose reduction,Premedication,19,21,Yes,Reduction,No,Yes,Yes,,No,Negative,Age,Low
RCT39458,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 2,140,13,Monthly,76,≥18,40% M/60% F,1-2,0,3,Normal,Rash,Hepatic,Gastrointestinal,Moderate,4,29.98,Yes,Yes,Discontinuation,Premedication,23,19,No,Discontinuation,No,Yes,Yes,,Yes,Positive,Age,Low
RCT85356,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 2,287,14,Bi-weekly,76,21-85,60% M/40% F,0-2,4,0,Normal,Fatigue,Dermatological,Blood,Severe,4,19.96,No,No,Supportive care,Monitoring,16,49,No,None,No,Yes,Yes,Safety,No,Negative,Gender,Unknown
RCT86413,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 2,133,1,Every 3 weeks,174,≥18,60% M/40% F,0-1,2,0,Moderate impairment,Fatigue,Gastrointestinal,Gastrointestinal,Severe,5,23.01,No,Yes,Treatment hold,Patient education,25,39,Yes,Discontinuation,No,Yes,No,Efficacy,,Negative,Age,Low
RCT65971,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,160,5,Every 3 weeks,166,18-75,40% M/60% F,0-1,0,3,Normal,Neutropenia,Gastrointestinal,Hepatic,Mild,4,16.0,Yes,No,Supportive care,Premedication,17,15,No,Reduction,No,Yes,Yes,Competition,Yes,Positive,None,High
RCT66677,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 1,157,5,Weekly,49,≥18,60% M/40% F,1-2,1,0,Normal,Infusion reaction,Dermatological,Hepatic,Moderate,3,19.37,No,Yes,Supportive care,Monitoring,12,4,Yes,None,No,No,Yes,Competition,No,Negative,ECOG,Low
RCT20975,Cetuximab,Anti-EGFR,Crossover,None,Phase 1,241,12,Weekly,151,≥18,40% M/60% F,0-1,5,1,Moderate impairment,Rash,Cardiac,Cardiac,Moderate,3,6.08,No,Yes,Supportive care,Patient education,12,3,Yes,None,No,Yes,Yes,Competition,,Unknown,Age,Medium
RCT48247,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 2,116,6,Weekly,160,≥18,50% M/50% F,0-1,5,2,Normal,Neutropenia,Hematological,Gastrointestinal,Mild,3,8.31,No,Yes,Treatment hold,Monitoring,7,43,No,Discontinuation,Yes,No,Yes,Competition,,None,None,Unknown
RCT61070,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 2,163,3,Bi-weekly,142,21-85,50% M/50% F,0-2,4,2,Normal,Rash,Hepatic,Hepatic,Mild,1,23.31,Yes,Yes,Dose reduction,Monitoring,28,35,No,Delay,Yes,Yes,No,Efficacy,No,None,Age,Low
RCT90610,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 2,242,15,Weekly,167,18-75,50% M/50% F,1-2,1,1,Moderate impairment,Nausea,Hepatic,Skin,Moderate,2,3.81,No,Yes,Discontinuation,Monitoring,6,30,Yes,None,Yes,No,Yes,Competition,,Positive,Prior treatments,Low
RCT90524,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 1,120,3,Monthly,72,≥18,40% M/60% F,1-2,3,3,Normal,Neutropenia,Cardiac,Blood,Severe,5,28.17,No,No,Treatment hold,Premedication,17,18,No,None,No,Yes,Yes,Regulatory,No,Unknown,Age,Medium
RCT25732,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 1,50,7,Bi-weekly,107,≥18,40% M/60% F,0-1,5,1,Mild impairment,Infusion reaction,Hematological,Gastrointestinal,Moderate,3,9.96,Yes,Yes,Supportive care,Premedication,27,4,Yes,None,No,Yes,Yes,Competition,Yes,Positive,None,Medium
RCT28091,Rituximab,Anti-CD20,Crossover,None,Phase 2,279,9,Every 3 weeks,85,18-65,40% M/60% F,0-1,0,0,Normal,Neutropenia,Dermatological,Blood,Severe,4,22.81,No,Yes,Discontinuation,Dose adjustment,21,2,No,Delay,Yes,No,No,Competition,,None,Gender,High
RCT90880,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 3,241,6,Monthly,177,18-75,40% M/60% F,0-2,2,3,Mild impairment,Fatigue,Gastrointestinal,Hepatic,Moderate,1,3.66,No,Yes,Supportive care,Patient education,19,33,Yes,None,Yes,Yes,Yes,Safety,,Negative,None,Low
