Antibody_Name,Antibody_Type,Indication,Phase,Dose_mg_m2,Dose_Frequency,Enrollment,Duration_Days,Age_Range,Gender,ECOG_Performance,Adverse_Event,Organ_System,Severity,Affected_Patients,Fraction_Affected_%,Reversible,Manageable,Management_Strategy,Time_to_Onset_Days,Resolution_Days,Dose_Reduction_Required,Treatment_Discontinuation,Fatal_Outcome
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Every 3 weeks,377,46,53-83,Male only,0-2,Cardiac Toxicity,Cardiovascular,Severe,9,2.39,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",24,6,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,840,Monthly,382,155,54-77,Female only,1-2,Severe Colitis,Gastrointestinal,Severe,9,2.36,Yes,Yes,"Corticosteroids, infliximab",41,48,Yes,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,840,Monthly,382,155,54-77,Female only,1-2,Severe Neuropathy,Neurological,Severe,9,2.36,Partial,Yes,"Dose reduction, pain management",85,31,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Monthly,431,131,47-67,All,1-2,Severe Pneumonitis,Respiratory,Severe,10,2.32,Partial,Yes,"Corticosteroids, oxygen therapy",6,2,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1680,Bi-weekly,481,42,26-74,Male only,1-2,Severe Neuropathy,Neurological,Severe,11,2.29,Partial,Yes,"Dose reduction, pain management",19,58,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,455,196,47-74,All,0-2,Severe Myocarditis,Cardiovascular,Severe,10,2.2,Partial,Yes,"Corticosteroids, cardiac support",8,12,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1200,Bi-weekly,237,135,36-65,All,0-1,Cytokine Release Syndrome,Immunological,Severe,5,2.11,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",9,50,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,840,Bi-weekly,415,334,56-65,Female only,1-2,Severe Pneumonitis,Respiratory,Severe,8,1.93,Partial,Yes,"Corticosteroids, oxygen therapy",32,27,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Monthly,414,253,43-76,All,0-3,Severe Pneumonitis,Respiratory,Severe,8,1.93,Partial,Yes,"Corticosteroids, oxygen therapy",31,51,Yes,Yes,Yes
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1680,Monthly,210,226,31-68,Female only,0-3,Severe Thrombocytopenia,Hematological,Severe,4,1.9,Yes,Yes,"Platelet transfusion, dose adjustment",69,36,Yes,Yes,Yes
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1200,Monthly,430,154,41-82,Male only,0-2,Severe Thrombocytopenia,Hematological,Severe,8,1.86,Yes,Yes,"Platelet transfusion, dose adjustment",83,58,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,840,Bi-weekly,341,119,39-66,Female only,0-2,Cardiac Toxicity,Cardiovascular,Severe,6,1.76,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",60,12,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Monthly,114,227,36-69,All,0-3,Severe Pneumonitis,Respiratory,Severe,2,1.75,Partial,Yes,"Corticosteroids, oxygen therapy",3,46,No,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1200,Bi-weekly,237,135,36-65,All,0-1,Severe Hepatotoxicity,Hepatic,Severe,4,1.69,Partial,Yes,"Liver function monitoring, dose adjustment",65,2,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,840,Every 3 weeks,425,184,62-83,Female only,1-2,Severe Myocarditis,Cardiovascular,Severe,7,1.65,Partial,Yes,"Corticosteroids, cardiac support",70,28,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1200,Every 3 weeks,121,271,43-68,All,0-1,Severe Neutropenia,Hematological,Severe,2,1.65,Yes,Yes,"G-CSF, antibiotics, dose reduction",78,4,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,840,Weekly,368,97,28-78,All,0-2,Cardiac Toxicity,Cardiovascular,Severe,6,1.63,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",18,24,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Monthly,431,131,47-67,All,1-2,Anaphylaxis,Immunological,Severe,7,1.62,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",14,2,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Monthly,431,131,47-67,All,1-2,Severe Thrombocytopenia,Hematological,Severe,7,1.62,Yes,Yes,"Platelet transfusion, dose adjustment",39,9,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Weekly,266,305,29-66,All,0-2,Cytokine Release Syndrome,Immunological,Severe,4,1.5,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",43,14,No,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,840,Bi-weekly,415,334,56-65,Female only,1-2,Cytokine Release Syndrome,Immunological,Severe,6,1.45,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",66,45,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Every 3 weeks,377,46,53-83,Male only,0-2,Severe Colitis,Gastrointestinal,Severe,5,1.33,Yes,Yes,"Corticosteroids, infliximab",46,13,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1200,Weekly,467,135,26-85,Male only,0-2,Severe Hepatotoxicity,Hepatic,Severe,6,1.28,Partial,Yes,"Liver function monitoring, dose adjustment",55,31,Yes,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 1,1200,Weekly,446,281,34-78,Female only,1-2,Severe Thrombocytopenia,Hematological,Severe,5,1.12,Yes,Yes,"Platelet transfusion, dose adjustment",16,39,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,455,196,47-74,All,0-2,Cardiac Toxicity,Cardiovascular,Severe,5,1.1,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",81,32,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1200,Every 3 weeks,375,96,54-84,Male only,0-3,Cytokine Release Syndrome,Immunological,Severe,4,1.07,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",13,20,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Monthly,414,253,43-76,All,0-3,Severe Neutropenia,Hematological,Severe,4,0.97,Yes,Yes,"G-CSF, antibiotics, dose reduction",82,58,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 2,1200,Monthly,430,154,41-82,Male only,0-2,Severe Colitis,Gastrointestinal,Severe,4,0.93,Yes,Yes,"Corticosteroids, infliximab",27,15,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 3,1680,Monthly,114,227,36-69,All,0-3,Severe Pneumonitis,Respiratory,Severe,1,0.88,Partial,Yes,"Corticosteroids, oxygen therapy",36,52,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,840,Weekly,458,83,18-68,Male only,0-3,Severe Neuropathy,Neurological,Severe,4,0.87,Partial,Yes,"Dose reduction, pain management",30,23,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1680,Bi-weekly,363,354,60-78,Male only,0-3,Severe Colitis,Gastrointestinal,Severe,3,0.83,Yes,Yes,"Corticosteroids, infliximab",2,37,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Every 3 weeks,256,117,31-65,Female only,0-1,Severe Myocarditis,Cardiovascular,Severe,2,0.78,Partial,Yes,"Corticosteroids, cardiac support",76,2,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Weekly,266,305,29-66,All,0-2,Severe Neutropenia,Hematological,Severe,2,0.75,Yes,Yes,"G-CSF, antibiotics, dose reduction",82,52,Yes,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1200,Monthly,414,253,43-76,All,0-3,Severe Neuropathy,Neurological,Severe,3,0.72,Partial,Yes,"Dose reduction, pain management",34,24,No,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,840,Bi-weekly,193,100,36-84,Female only,0-1,Severe Pneumonitis,Respiratory,Severe,1,0.52,Partial,Yes,"Corticosteroids, oxygen therapy",32,59,No,Yes,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,840,Monthly,235,145,49-77,Female only,0-1,Severe Neuropathy,Neurological,Severe,1,0.43,Partial,Yes,"Dose reduction, pain management",31,1,Yes,No,No
Atezolizumab,Anti-PD-L1,Lung Cancer,Phase 3,1680,Bi-weekly,481,42,26-74,Male only,1-2,Anaphylaxis,Immunological,Severe,2,0.42,Yes,Yes,"Epinephrine, antihistamines, corticosteroids",20,59,Yes,No,No
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 1,1680,Monthly,431,131,47-67,All,1-2,Severe Pneumonitis,Respiratory,Severe,1,0.23,Partial,Yes,"Corticosteroids, oxygen therapy",18,41,No,Yes,Yes
Atezolizumab,Anti-PD-L1,Bladder Cancer,Phase 2,1200,Weekly,467,135,26-85,Male only,0-2,Cardiac Toxicity,Cardiovascular,Severe,1,0.21,Partial,Yes,"Cardiac monitoring, ACE inhibitors, beta-blockers",62,2,Yes,No,No
Bevacizumab,Anti-VEGF,Ovarian Cancer,Phase 1,5,Monthly,40,145,56-69,All,0-3,Severe Neuropathy,Neurological,Severe,4,10.0,Partial,Yes,"Dose reduction, pain management",87,24,No,Yes,No
Bevacizumab,Anti-VEGF,Ovarian Cancer,Phase 3,5,Bi-weekly,80,264,62-76,Female only,1-2,Cytokine Release Syndrome,Immunological,Severe,8,10.0,Yes,Yes,"Tocilizumab, corticosteroids, supportive care",19,11,No,Yes,No
Bevacizumab,Anti-VEGF,Colorectal Cancer,Phase 1,7.5,Every 3 weeks,197,116,32-82,Male only,0-1,Severe Myocarditis,Cardiovascular,Severe,19,9.64,Partial,Yes,"Corticosteroids, cardiac support",3,47,No,Yes,No
Bevacizumab,Anti-VEGF,Colorectal Cancer,Phase 1,10,Monthly,21,52,63-81,Male only,0-1,Severe Neutropenia,Hematological,Severe,2,9.52,Yes,Yes,"G-CSF, antibiotics, dose reduction",40,36,No,No,No
