nct_id,brief_title,official_title,study_type,phase,enrollment,start_date,completion_date,overall_status,lead_sponsor,study_design,primary_purpose,antibody_name,antibody_category,indication
NCT13086082,Study of Rituximab in Multiple Sclerosis,A Phase 4 Study of Rituximab for the Treatment of Multiple Sclerosis,Observational,Phase 4,196,2022-09-10,2023-01-17,Terminated,NIH,Crossover Assignment,Treatment,Rituximab,Anti-CD20,Multiple Sclerosis
NCT16210378,Study of Rituximab in Multiple Sclerosis,A Phase 4 Study of Rituximab for the Treatment of Multiple Sclerosis,Interventional,Phase 4,911,2023-01-10,2024-09-30,Completed,Other,Crossover Assignment,Supportive Care,Rituximab,Anti-CD20,Multiple Sclerosis
NCT24962589,Study of Obinutuzumab in Lymphoma,A Phase 1 Study of Obinutuzumab for the Treatment of Lymphoma,Interventional,Phase 1,88,2022-04-14,2022-09-16,Suspended,Industry,Crossover Assignment,Diagnostic,Obinutuzumab,Anti-CD20,Lymphoma
NCT32126806,Study of Obinutuzumab in Lymphoma,A Phase 2 Study of Obinutuzumab for the Treatment of Lymphoma,Observational,Phase 2,74,2022-05-03,2023-08-04,Terminated,NIH,Crossover Assignment,Diagnostic,Obinutuzumab,Anti-CD20,Lymphoma
NCT40778145,Study of Obinutuzumab in Lymphoma,A Phase 2 Study of Obinutuzumab for the Treatment of Lymphoma,Interventional,Phase 2,514,2022-04-13,2022-08-09,Completed,Industry,Single Group Assignment,Supportive Care,Obinutuzumab,Anti-CD20,Lymphoma
NCT27960108,Study of Obinutuzumab in Lymphoma,A Phase 3 Study of Obinutuzumab for the Treatment of Lymphoma,Observational,Phase 3,340,2020-08-10,2021-10-25,Suspended,Industry,Parallel Assignment,Prevention,Obinutuzumab,Anti-CD20,Lymphoma
NCT18105917,Study of Obinutuzumab in Lymphoma,A Phase 3 Study of Obinutuzumab for the Treatment of Lymphoma,Observational,Phase 3,783,2021-09-16,2021-11-03,Recruiting,NIH,Single Group Assignment,Prevention,Obinutuzumab,Anti-CD20,Lymphoma
NCT47616921,Study of Obinutuzumab in Lymphoma,A Phase 4 Study of Obinutuzumab for the Treatment of Lymphoma,Interventional,Phase 4,346,2024-12-05,2025-10-31,Suspended,NIH,Single Group Assignment,Diagnostic,Obinutuzumab,Anti-CD20,Lymphoma
NCT63782469,Study of Obinutuzumab in Leukemia,A Phase 1 Study of Obinutuzumab for the Treatment of Leukemia,Observational,Phase 1,620,2022-07-01,2023-11-11,Terminated,NIH,Crossover Assignment,Treatment,Obinutuzumab,Anti-CD20,Leukemia
NCT20258271,Study of Obinutuzumab in Leukemia,A Phase 1 Study of Obinutuzumab for the Treatment of Leukemia,Interventional,Phase 1,900,2023-08-22,2024-07-09,Terminated,NIH,Parallel Assignment,Supportive Care,Obinutuzumab,Anti-CD20,Leukemia
NCT94625568,Study of Obinutuzumab in Leukemia,A Phase 2 Study of Obinutuzumab for the Treatment of Leukemia,Observational,Phase 2,160,2024-03-05,2025-05-05,Terminated,NIH,Single Group Assignment,Supportive Care,Obinutuzumab,Anti-CD20,Leukemia
NCT51289540,Study of Obinutuzumab in Leukemia,A Phase 3 Study of Obinutuzumab for the Treatment of Leukemia,Observational,Phase 3,236,2023-02-17,2023-11-04,Terminated,NIH,Single Group Assignment,Treatment,Obinutuzumab,Anti-CD20,Leukemia
NCT45429745,Study of Obinutuzumab in Leukemia,A Phase 4 Study of Obinutuzumab for the Treatment of Leukemia,Observational,Phase 4,788,2021-05-10,2021-11-10,Terminated,Other,Parallel Assignment,Prevention,Obinutuzumab,Anti-CD20,Leukemia
NCT15896378,Study of Obinutuzumab in Leukemia,A Phase 4 Study of Obinutuzumab for the Treatment of Leukemia,Observational,Phase 4,428,2023-03-16,2025-02-08,Terminated,NIH,Parallel Assignment,Supportive Care,Obinutuzumab,Anti-CD20,Leukemia
NCT93671633,Study of Obinutuzumab in Multiple Sclerosis,A Phase 1 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Interventional,Phase 1,684,2022-08-01,2024-01-23,Terminated,Other,Single Group Assignment,Treatment,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT93467774,Study of Obinutuzumab in Multiple Sclerosis,A Phase 1 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Interventional,Phase 1,735,2020-11-22,2022-03-12,Suspended,Industry,Parallel Assignment,Prevention,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT93947495,Study of Obinutuzumab in Multiple Sclerosis,A Phase 1 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Observational,Phase 1,92,2020-08-28,2021-08-07,Terminated,Industry,Crossover Assignment,Treatment,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT21889641,Study of Obinutuzumab in Multiple Sclerosis,A Phase 2 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Interventional,Phase 2,722,2021-04-29,2022-08-03,Terminated,Other,Single Group Assignment,Prevention,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT32396804,Study of Obinutuzumab in Multiple Sclerosis,A Phase 2 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Observational,Phase 2,73,2024-01-31,2025-06-21,Completed,Industry,Parallel Assignment,Diagnostic,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT99144820,Study of Obinutuzumab in Multiple Sclerosis,A Phase 3 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Observational,Phase 3,410,2020-08-01,2021-08-15,Completed,Industry,Single Group Assignment,Diagnostic,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT23459864,Study of Obinutuzumab in Multiple Sclerosis,A Phase 4 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Observational,Phase 4,355,2025-01-13,2025-05-02,Suspended,Industry,Crossover Assignment,Diagnostic,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT29029783,Study of Obinutuzumab in Multiple Sclerosis,A Phase 4 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Interventional,Phase 4,977,2021-06-17,2022-11-26,Completed,Industry,Single Group Assignment,Treatment,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT84463325,Study of Obinutuzumab in Multiple Sclerosis,A Phase 4 Study of Obinutuzumab for the Treatment of Multiple Sclerosis,Observational,Phase 4,543,2023-02-01,2023-08-20,Completed,Industry,Single Group Assignment,Prevention,Obinutuzumab,Anti-CD20,Multiple Sclerosis
NCT27329313,Study of Ofatumumab in Lymphoma,A Phase 1 Study of Ofatumumab for the Treatment of Lymphoma,Interventional,Phase 1,693,2020-12-26,2022-04-10,Terminated,NIH,Single Group Assignment,Treatment,Ofatumumab,Anti-CD20,Lymphoma
NCT37540896,Study of Ofatumumab in Lymphoma,A Phase 2 Study of Ofatumumab for the Treatment of Lymphoma,Observational,Phase 2,351,2021-11-11,2022-12-04,Completed,NIH,Single Group Assignment,Treatment,Ofatumumab,Anti-CD20,Lymphoma
NCT89973394,Study of Ofatumumab in Lymphoma,A Phase 2 Study of Ofatumumab for the Treatment of Lymphoma,Interventional,Phase 2,466,2024-02-16,2025-10-30,Suspended,NIH,Crossover Assignment,Treatment,Ofatumumab,Anti-CD20,Lymphoma
NCT77548914,Study of Ofatumumab in Lymphoma,A Phase 3 Study of Ofatumumab for the Treatment of Lymphoma,Observational,Phase 3,295,2023-07-25,2024-02-29,Recruiting,Other,Single Group Assignment,Prevention,Ofatumumab,Anti-CD20,Lymphoma
NCT64988149,Study of Ofatumumab in Lymphoma,A Phase 4 Study of Ofatumumab for the Treatment of Lymphoma,Observational,Phase 4,692,2022-08-08,2023-07-27,Completed,NIH,Parallel Assignment,Prevention,Ofatumumab,Anti-CD20,Lymphoma
NCT69249820,Study of Ofatumumab in Lymphoma,A Phase 4 Study of Ofatumumab for the Treatment of Lymphoma,Interventional,Phase 4,459,2023-06-27,2024-04-16,Completed,NIH,Single Group Assignment,Supportive Care,Ofatumumab,Anti-CD20,Lymphoma
NCT78462301,Study of Ofatumumab in Lymphoma,A Phase 4 Study of Ofatumumab for the Treatment of Lymphoma,Interventional,Phase 4,379,2020-04-12,2020-09-19,Suspended,Other,Crossover Assignment,Diagnostic,Ofatumumab,Anti-CD20,Lymphoma
NCT98305573,Study of Ofatumumab in Leukemia,A Phase 1 Study of Ofatumumab for the Treatment of Leukemia,Observational,Phase 1,642,2022-01-02,2023-12-29,Suspended,NIH,Parallel Assignment,Supportive Care,Ofatumumab,Anti-CD20,Leukemia
NCT25684850,Study of Ofatumumab in Leukemia,A Phase 1 Study of Ofatumumab for the Treatment of Leukemia,Interventional,Phase 1,474,2022-06-05,2023-12-17,Terminated,Industry,Parallel Assignment,Treatment,Ofatumumab,Anti-CD20,Leukemia
NCT35402693,Study of Ofatumumab in Leukemia,A Phase 1 Study of Ofatumumab for the Treatment of Leukemia,Observational,Phase 1,364,2021-09-16,2023-07-13,Recruiting,Industry,Parallel Assignment,Supportive Care,Ofatumumab,Anti-CD20,Leukemia
NCT10712776,Study of Ofatumumab in Leukemia,A Phase 2 Study of Ofatumumab for the Treatment of Leukemia,Interventional,Phase 2,215,2023-10-22,2025-10-21,Recruiting,Other,Crossover Assignment,Prevention,Ofatumumab,Anti-CD20,Leukemia
NCT25015027,Study of Ofatumumab in Leukemia,A Phase 2 Study of Ofatumumab for the Treatment of Leukemia,Interventional,Phase 2,267,2023-10-21,2024-07-31,Terminated,Industry,Parallel Assignment,Treatment,Ofatumumab,Anti-CD20,Leukemia
NCT11694638,Study of Ofatumumab in Leukemia,A Phase 3 Study of Ofatumumab for the Treatment of Leukemia,Interventional,Phase 3,658,2024-06-04,2025-09-14,Terminated,Other,Parallel Assignment,Prevention,Ofatumumab,Anti-CD20,Leukemia
NCT76832648,Study of Ofatumumab in Leukemia,A Phase 3 Study of Ofatumumab for the Treatment of Leukemia,Observational,Phase 3,609,2021-01-26,2022-06-14,Terminated,NIH,Crossover Assignment,Supportive Care,Ofatumumab,Anti-CD20,Leukemia
NCT35783129,Study of Ofatumumab in Leukemia,A Phase 3 Study of Ofatumumab for the Treatment of Leukemia,Interventional,Phase 3,939,2023-07-07,2023-12-20,Terminated,NIH,Single Group Assignment,Prevention,Ofatumumab,Anti-CD20,Leukemia
NCT36392133,Study of Ofatumumab in Leukemia,A Phase 4 Study of Ofatumumab for the Treatment of Leukemia,Observational,Phase 4,976,2023-01-20,2024-02-18,Suspended,Other,Single Group Assignment,Diagnostic,Ofatumumab,Anti-CD20,Leukemia
NCT49566743,Study of Ofatumumab in Leukemia,A Phase 4 Study of Ofatumumab for the Treatment of Leukemia,Interventional,Phase 4,342,2022-04-19,2024-01-20,Recruiting,Other,Crossover Assignment,Prevention,Ofatumumab,Anti-CD20,Leukemia
NCT66807541,Study of Ofatumumab in Leukemia,A Phase 4 Study of Ofatumumab for the Treatment of Leukemia,Observational,Phase 4,498,2020-08-31,2021-05-07,Terminated,NIH,Crossover Assignment,Diagnostic,Ofatumumab,Anti-CD20,Leukemia
NCT17616731,Study of Ofatumumab in Multiple Sclerosis,A Phase 1 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Observational,Phase 1,463,2022-07-14,2023-07-27,Terminated,Other,Parallel Assignment,Diagnostic,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT15397926,Study of Ofatumumab in Multiple Sclerosis,A Phase 2 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Interventional,Phase 2,96,2024-12-16,2026-02-05,Recruiting,NIH,Parallel Assignment,Supportive Care,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT97402885,Study of Ofatumumab in Multiple Sclerosis,A Phase 2 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Observational,Phase 2,569,2022-03-10,2024-02-20,Completed,Other,Single Group Assignment,Diagnostic,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT86890998,Study of Ofatumumab in Multiple Sclerosis,A Phase 3 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Interventional,Phase 3,291,2021-01-22,2022-02-24,Suspended,Other,Parallel Assignment,Supportive Care,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT13167781,Study of Ofatumumab in Multiple Sclerosis,A Phase 3 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Observational,Phase 3,986,2021-10-20,2023-05-20,Terminated,NIH,Parallel Assignment,Supportive Care,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT76528896,Study of Ofatumumab in Multiple Sclerosis,A Phase 4 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Observational,Phase 4,155,2025-03-23,2026-03-22,Completed,NIH,Crossover Assignment,Diagnostic,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT63286949,Study of Ofatumumab in Multiple Sclerosis,A Phase 4 Study of Ofatumumab for the Treatment of Multiple Sclerosis,Observational,Phase 4,869,2024-04-11,2024-06-25,Completed,Other,Crossover Assignment,Treatment,Ofatumumab,Anti-CD20,Multiple Sclerosis
NCT86109948,Study of Ocrelizumab in Lymphoma,A Phase 1 Study of Ocrelizumab for the Treatment of Lymphoma,Interventional,Phase 1,985,2023-07-29,2023-10-17,Recruiting,Other,Single Group Assignment,Prevention,Ocrelizumab,Anti-CD20,Lymphoma
NCT86915742,Study of Ocrelizumab in Lymphoma,A Phase 2 Study of Ocrelizumab for the Treatment of Lymphoma,Interventional,Phase 2,41,2021-03-17,2023-01-26,Recruiting,Industry,Single Group Assignment,Diagnostic,Ocrelizumab,Anti-CD20,Lymphoma
NCT41400974,Study of Ocrelizumab in Lymphoma,A Phase 2 Study of Ocrelizumab for the Treatment of Lymphoma,Interventional,Phase 2,158,2021-02-26,2021-05-30,Suspended,Other,Parallel Assignment,Diagnostic,Ocrelizumab,Anti-CD20,Lymphoma
NCT57661992,Study of Ocrelizumab in Lymphoma,A Phase 3 Study of Ocrelizumab for the Treatment of Lymphoma,Observational,Phase 3,112,2021-07-06,2021-12-11,Recruiting,Industry,Single Group Assignment,Diagnostic,Ocrelizumab,Anti-CD20,Lymphoma
NCT39141575,Study of Ocrelizumab in Lymphoma,A Phase 4 Study of Ocrelizumab for the Treatment of Lymphoma,Interventional,Phase 4,118,2023-05-18,2025-02-20,Suspended,Industry,Single Group Assignment,Prevention,Ocrelizumab,Anti-CD20,Lymphoma
NCT73360696,Study of Ocrelizumab in Leukemia,A Phase 1 Study of Ocrelizumab for the Treatment of Leukemia,Observational,Phase 1,617,2020-11-20,2021-02-07,Recruiting,NIH,Single Group Assignment,Prevention,Ocrelizumab,Anti-CD20,Leukemia
NCT72416710,Study of Ocrelizumab in Leukemia,A Phase 1 Study of Ocrelizumab for the Treatment of Leukemia,Observational,Phase 1,559,2022-11-15,2023-05-11,Completed,Other,Crossover Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Leukemia
NCT42921792,Study of Ocrelizumab in Leukemia,A Phase 1 Study of Ocrelizumab for the Treatment of Leukemia,Interventional,Phase 1,758,2021-02-09,2021-12-04,Suspended,Other,Crossover Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Leukemia
NCT67285403,Study of Ocrelizumab in Leukemia,A Phase 2 Study of Ocrelizumab for the Treatment of Leukemia,Interventional,Phase 2,949,2024-11-12,2025-12-18,Recruiting,Other,Single Group Assignment,Treatment,Ocrelizumab,Anti-CD20,Leukemia
NCT16510682,Study of Ocrelizumab in Leukemia,A Phase 2 Study of Ocrelizumab for the Treatment of Leukemia,Interventional,Phase 2,888,2023-09-23,2025-06-19,Terminated,Other,Single Group Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Leukemia
NCT62742948,Study of Ocrelizumab in Leukemia,A Phase 2 Study of Ocrelizumab for the Treatment of Leukemia,Interventional,Phase 2,653,2022-06-15,2023-03-31,Recruiting,Industry,Parallel Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Leukemia
NCT99184747,Study of Ocrelizumab in Leukemia,A Phase 3 Study of Ocrelizumab for the Treatment of Leukemia,Interventional,Phase 3,573,2020-04-10,2021-07-12,Recruiting,NIH,Parallel Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Leukemia
NCT33886240,Study of Ocrelizumab in Leukemia,A Phase 3 Study of Ocrelizumab for the Treatment of Leukemia,Observational,Phase 3,53,2025-05-10,2025-10-07,Recruiting,Other,Crossover Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Leukemia
NCT89092666,Study of Ocrelizumab in Leukemia,A Phase 3 Study of Ocrelizumab for the Treatment of Leukemia,Observational,Phase 3,563,2024-06-27,2024-09-29,Suspended,NIH,Single Group Assignment,Prevention,Ocrelizumab,Anti-CD20,Leukemia
NCT58611678,Study of Ocrelizumab in Leukemia,A Phase 4 Study of Ocrelizumab for the Treatment of Leukemia,Interventional,Phase 4,975,2024-09-23,2025-05-26,Terminated,NIH,Crossover Assignment,Treatment,Ocrelizumab,Anti-CD20,Leukemia
NCT15614833,Study of Ocrelizumab in Leukemia,A Phase 4 Study of Ocrelizumab for the Treatment of Leukemia,Observational,Phase 4,888,2023-01-01,2023-04-08,Recruiting,Industry,Crossover Assignment,Diagnostic,Ocrelizumab,Anti-CD20,Leukemia
NCT74925460,Study of Ocrelizumab in Multiple Sclerosis,A Phase 1 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Observational,Phase 1,584,2020-04-08,2022-03-15,Completed,NIH,Crossover Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT89346782,Study of Ocrelizumab in Multiple Sclerosis,A Phase 1 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Interventional,Phase 1,368,2022-04-23,2023-05-12,Suspended,Other,Crossover Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT56705534,Study of Ocrelizumab in Multiple Sclerosis,A Phase 2 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Interventional,Phase 2,400,2021-04-08,2022-11-20,Completed,Other,Parallel Assignment,Prevention,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT68759844,Study of Ocrelizumab in Multiple Sclerosis,A Phase 2 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Interventional,Phase 2,757,2025-03-01,2025-11-19,Suspended,Other,Crossover Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT79393535,Study of Ocrelizumab in Multiple Sclerosis,A Phase 3 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Interventional,Phase 3,900,2020-03-14,2020-07-03,Terminated,Industry,Parallel Assignment,Prevention,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT24029614,Study of Ocrelizumab in Multiple Sclerosis,A Phase 3 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Interventional,Phase 3,566,2020-05-10,2022-03-19,Suspended,NIH,Single Group Assignment,Diagnostic,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT30495566,Study of Ocrelizumab in Multiple Sclerosis,A Phase 3 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Observational,Phase 3,544,2021-08-31,2023-07-26,Terminated,Industry,Crossover Assignment,Treatment,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT82052914,Study of Ocrelizumab in Multiple Sclerosis,A Phase 4 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Observational,Phase 4,949,2022-08-29,2023-05-31,Terminated,Industry,Single Group Assignment,Supportive Care,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT86855955,Study of Ocrelizumab in Multiple Sclerosis,A Phase 4 Study of Ocrelizumab for the Treatment of Multiple Sclerosis,Observational,Phase 4,669,2023-08-10,2024-08-14,Suspended,Other,Crossover Assignment,Diagnostic,Ocrelizumab,Anti-CD20,Multiple Sclerosis
NCT92491261,Study of Trastuzumab in Breast Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Breast Cancer,Interventional,Phase 1,183,2020-07-10,2020-11-30,Completed,Industry,Parallel Assignment,Diagnostic,Trastuzumab,Anti-HER2,Breast Cancer
NCT18101054,Study of Trastuzumab in Breast Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Breast Cancer,Observational,Phase 1,835,2023-10-31,2024-09-11,Recruiting,Other,Parallel Assignment,Treatment,Trastuzumab,Anti-HER2,Breast Cancer
NCT38706919,Study of Trastuzumab in Breast Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Breast Cancer,Observational,Phase 1,734,2023-07-18,2024-01-06,Terminated,Industry,Single Group Assignment,Prevention,Trastuzumab,Anti-HER2,Breast Cancer
NCT24725663,Study of Trastuzumab in Breast Cancer,A Phase 2 Study of Trastuzumab for the Treatment of Breast Cancer,Observational,Phase 2,77,2023-11-02,2025-02-23,Recruiting,NIH,Single Group Assignment,Prevention,Trastuzumab,Anti-HER2,Breast Cancer
NCT50442191,Study of Trastuzumab in Breast Cancer,A Phase 3 Study of Trastuzumab for the Treatment of Breast Cancer,Interventional,Phase 3,714,2022-12-06,2023-01-27,Terminated,Other,Crossover Assignment,Supportive Care,Trastuzumab,Anti-HER2,Breast Cancer
