nct_id,title,overall_status,study_type,phases,conditions,lead_sponsor,group_id,group_title,num_at_risk,total_serious_ae,total_other_ae,interventions,arm_label,arm_inferred_intervention,intervention_class,sae_rate,other_ae_rate
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG004,Part 1: GSK3174998 0.3 mg/kg,10,2,49,GSK3174998; Pembrolizumab,Part 1: GSK3174998 0.3 mg/kg,GSK3174998,other,0.200000,4.900000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG005,Part 1: GSK3174998 1.0 mg/kg,4,2,20,GSK3174998; Pembrolizumab,Part 1: GSK3174998 1.0 mg/kg,GSK3174998,other,0.500000,5.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG006,Part 1: GSK3174998 3.0 mg/kg,7,5,48,GSK3174998; Pembrolizumab,Part 1: GSK3174998 3.0 mg/kg,GSK3174998,other,0.714286,6.857143
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG007,Part 1: GSK3174998 10.0 mg/kg,4,2,30,GSK3174998; Pembrolizumab,Part 1: GSK3174998 10.0 mg/kg,GSK3174998,other,0.500000,7.500000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG008,Part 2A: GSK3174998 0.003 mg/kg + Pembrolizumab 200 mg,5,1,20,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 0.003 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.200000,4.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG009,Part 2A: GSK3174998 0.01 mg/kg + Pembrolizumab 200 mg,5,2,45,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 0.01 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.400000,9.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG010,Part 2A: GSK3174998 0.03 mg/kg + Pembrolizumab 200 mg,10,9,48,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 0.03 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.900000,4.800000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG011,Part 2A: GSK3174998 0.1 mg/kg + Pembrolizumab 200 mg,12,7,93,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 0.1 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.583333,7.750000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG012,Part 2A: GSK3174998 0.3 mg/kg + Pembrolizumab 200 mg,14,10,96,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 0.3 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.714286,6.857143
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG013,Part 2A: GSK3174998 1.0 mg/kg + Pembrolizumab 200 mg,12,5,97,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 1.0 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.416667,8.083333
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG014,Part 2A: GSK3174998 3.0 mg/kg + Pembrolizumab 200 mg,12,2,72,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 3.0 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.166667,6.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG015,Part 2A: GSK3174998 10.0 mg/kg + Pembrolizumab 200 mg,4,3,16,GSK3174998; Pembrolizumab,Part 2A: GSK3174998 10.0 mg/kg + Pembrolizumab 200 mg,Pembrolizumab,mab,0.750000,4.000000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG016,Part 2B: Melanoma Cohort,9,1,39,GSK3174998; Pembrolizumab,Part 2B: Melanoma Cohort,,other,0.111111,4.333333
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG017,Part 2B: Soft Tissue Sarcoma Cohort,8,2,53,GSK3174998; Pembrolizumab,Part 2B: Soft Tissue Sarcoma Cohort,,other,0.250000,6.625000
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG018,Part 2B: NSCLC Cohort,5,1,10,GSK3174998; Pembrolizumab,Part 2B: NSCLC Cohort,,other,0.200000,2.000000
NCT04458857,A Study to Test if Fremanezumab is Effective in Preventing Episodic Migraine in Patients 6 to 17 Years of Age,COMPLETED,INTERVENTIONAL,PHASE3,Migraine,"Teva Branded Pharmaceutical Products R&D, Inc.",EG000,Placebo,112,3,35,Fremanezumab; Placebo,Placebo,Placebo,other,0.026786,0.312500
NCT04458857,A Study to Test if Fremanezumab is Effective in Preventing Episodic Migraine in Patients 6 to 17 Years of Age,COMPLETED,INTERVENTIONAL,PHASE3,Migraine,"Teva Branded Pharmaceutical Products R&D, Inc.",EG001,Fremanezumab Dose A,36,1,13,Fremanezumab; Placebo,Fremanezumab Dose A,Fremanezumab,mab,0.027778,0.361111
NCT04458857,A Study to Test if Fremanezumab is Effective in Preventing Episodic Migraine in Patients 6 to 17 Years of Age,COMPLETED,INTERVENTIONAL,PHASE3,Migraine,"Teva Branded Pharmaceutical Products R&D, Inc.",EG002,Fremanezumab Dose B,87,1,44,Fremanezumab; Placebo,Fremanezumab Dose B,Fremanezumab,mab,0.011494,0.505747
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG000,Placebo,27,1,18,Ixekizumab; Placebo,Placebo,Placebo,other,0.037037,0.666667
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG001,10 mg Ixekizumab,28,1,20,Ixekizumab; Placebo,10 mg Ixekizumab,Ixekizumab,mab,0.035714,0.714286
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG002,25 mg Ixekizumab,30,1,18,Ixekizumab; Placebo,25 mg Ixekizumab,Ixekizumab,mab,0.033333,0.600000
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG003,75 mg Ixekizumab,29,0,21,Ixekizumab; Placebo,75 mg Ixekizumab,Ixekizumab,mab,0.000000,0.724138
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG004,150 mg Ixekizumab,28,0,17,Ixekizumab; Placebo,150 mg Ixekizumab,Ixekizumab,mab,0.000000,0.607143
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG005,Treatment Durability,74,1,12,Ixekizumab; Placebo,Treatment Durability,,other,0.013514,0.162162
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG006,120 mg and 80 mg Total Ixekizumab,120,37,195,Ixekizumab; Placebo,120 mg and 80 mg Total Ixekizumab,Ixekizumab,mab,0.308333,1.625000
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG007,Post Treatment Safety Visits,6,0,1,Ixekizumab; Placebo,Post Treatment Safety Visits,,other,0.000000,0.166667
NCT00583557,A Continuation Trial for Subjects With Rheumatoid Arthritis That Have Completed Protocol LBRA01,TERMINATED,INTERVENTIONAL,PHASE2,Rheumatoid Arthritis,Human Genome Sciences Inc.,EG000,Belimumab 10 mg/kg,153,112,837,belimumab,Belimumab 10 mg/kg,belimumab,mab,0.732026,5.470588
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG000,Part 1: Panitumumab + Rilotumumab,11,7,174,Ganitumab; Panitumumab; Placebo; Rilotumumab,Part 1: Panitumumab + Rilotumumab,Panitumumab,mab,0.636364,15.818182
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG001,Part 2: Panitumumab Alone,48,17,259,Ganitumab; Panitumumab; Placebo; Rilotumumab,Part 2: Panitumumab Alone,Panitumumab,mab,0.354167,5.395833
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG002,Part 2: Panitumumab + Rilotumumab,48,20,271,Ganitumab; Panitumumab; Placebo; Rilotumumab,Part 2: Panitumumab + Rilotumumab,Panitumumab,mab,0.416667,5.645833
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG003,Part 2: Panitumumab + Ganitumab,46,14,262,Ganitumab; Panitumumab; Placebo; Rilotumumab,Part 2: Panitumumab + Ganitumab,Panitumumab,mab,0.304348,5.695652
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG004,Part 3: Rilotumumab,13,8,45,Ganitumab; Panitumumab; Placebo; Rilotumumab,Part 3: Rilotumumab,Rilotumumab,mab,0.615385,3.461538
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG005,Part 3: Ganitumab,11,4,65,Ganitumab; Panitumumab; Placebo; Rilotumumab,Part 3: Ganitumab,Ganitumab,mab,0.363636,5.909091
NCT02456857,"Liposomal Doxorubicin, Bevacizumab, and Everolimus in Patients With Locally Advanced TNBC With Tumors Predicted Insensitive to Standard Chemotherapy; A Moonshot Initiative",COMPLETED,INTERVENTIONAL,PHASE2,"Invasive Breast Carcinoma, Triple-Negative Breast Carcinoma",M.D. Anderson Cancer Center,EG000,Liposomal Doxorubicin + Bevacizumab + Everolimus,17,6,26,Bevacizumab; Everolimus; Laboratory Biomarker Analysis; Pegylated Liposomal Doxorubicin Hydrochloride,Liposomal Doxorubicin + Bevacizumab + Everolimus,Bevacizumab,mab,0.352941,1.529412
NCT00668148,"A Five-Tier, Open-Label Study of IMC-A12 in Advanced Sarcoma",COMPLETED,INTERVENTIONAL,PHASE2,"Ewing's Sarcoma /Peripheral Neuroectodermal Tumor (PNET), Rhabdomyosarcoma, Leiomyosarcoma, Adipocytic Sarcoma, Synovial Sarcoma",Eli Lilly and Company,EG000,Entire Study Population,111,90,371,IMC-A12 (cixutumumab),Entire Study Population,,other,0.810811,3.342342
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG000,"Phase I: Bev + TRC105 (Dose 0, Cohort A)",4,8,22,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment,"Phase I: Bev + TRC105 (Dose 0, Cohort A)",,other,2.000000,5.500000
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG001,"Phase I: Bev + TRC105 (Dose 1, Cohort A)",3,0,25,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment,"Phase I: Bev + TRC105 (Dose 1, Cohort A)",,other,0.000000,8.333333
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG002,"Phase I: Bev + TRC105 (Dose 2, Cohort A)",4,3,40,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment,"Phase I: Bev + TRC105 (Dose 2, Cohort A)",,other,0.750000,10.000000
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG003,"Phase I: Bev + TRC105 (Dose 2, Cohort B)",3,4,25,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment,"Phase I: Bev + TRC105 (Dose 2, Cohort B)",,other,1.333333,8.333333
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG004,Phase II: Bev + TRC105 (Arm I),49,46,465,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment,Phase II: Bev + TRC105 (Arm I),,other,0.938776,9.489796
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG005,Phase II: Bev Alone (Arm II),43,13,277,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment,Phase II: Bev Alone (Arm II),,other,0.302326,6.441860
NCT00748657,Bevacizumab in Treating Patients With Recurrent Sex Cord-Stromal Tumors of the Ovary,COMPLETED,INTERVENTIONAL,PHASE2,"Malignant Ovarian Epithelial Tumor, Ovarian Granulosa Cell Tumor, Ovarian Gynandroblastoma, Ovarian Sertoli-Leydig Cell Tumor, Ovarian Sex Cord Tumor With Annular Tubules, Ovarian Sex Cord-Stromal Tumor, Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types, Ovarian Steroid Cell Tumor",National Cancer Institute (NCI),EG000,Bevacizumab,36,20,593,Bevacizumab; Laboratory Biomarker Analysis,Bevacizumab,Bevacizumab,mab,0.555556,16.472222
NCT00170157,Hormone Therapy and Ipilimumab in Treating Patients With Advanced Prostate Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Prostate Adenocarcinoma, Prostate Carcinoma, Recurrent Prostate Carcinoma, Stage III Prostate Cancer, Stage IV Prostate Cancer",Mayo Clinic,EG000,Entire Study Population,110,24,826,Bicalutamide; Flutamide; Goserelin Acetate; Ipilimumab; Leuprolide Acetate; Pharmacological Study,Entire Study Population,,other,0.218182,7.509091
NCT00618657,"Carboplatin+Nab-paclitaxel, Plus Trastuzumab (HER2+) or Bevacizumab (HER2-) in the Neoadjuvant Setting",COMPLETED,INTERVENTIONAL,PHASE2,"Breast Cancer, HER2-negative Breast Cancer, HER2-positive Breast Cancer, Recurrent Breast Cancer, Stage IA Breast Cancer, Stage IB Breast Cancer, Stage II Breast Cancer, Stage IIIA Breast Cancer, Stage IIIB Breast Cancer, Stage IIIC Breast Cancer","University of California, Irvine",EG000,Arm I (HER-2 Positive),42,4,38,Carboplatin; bevacizumab; magnetic resonance imaging; paclitaxel albumin-stabilized nanoparticle formulation; therapeutic conventional surgery; trastuzumab,Arm I (HER-2 Positive),,other,0.095238,0.904762
