nct_id,title,overall_status,study_type,phases,conditions,lead_sponsor,group_id,group_title,num_at_risk,total_serious_ae,total_other_ae,interventions
NCT04560166,Naxitamab and GM-CSF in Combination With IT in Patients With High-Risk Neuroblastoma,TERMINATED,INTERVENTIONAL,PHASE2,Neuroblastoma Recurrent,Y-mAbs Therapeutics,EG000,Naxitamab and GM-CSF in Combination With Irinotecan and Temozolomide,2,3,34,Naxitamab and GM-CSF in combination with irinotecan and temozolomide
NCT00297648,Mucosal Healing Study in Crohn's Disease (CD),COMPLETED,INTERVENTIONAL,PHASE3,Crohn's Disease,UCB Pharma,EG000,CDP870 400 mg,89,60,425,Certolizumab pegol
NCT03114657,A Study of Crenezumab Versus Placebo to Evaluate the Efficacy and Safety in Participants With Prodromal to Mild Alzheimer's Disease (AD),TERMINATED,INTERVENTIONAL,PHASE3,Alzheimer's Disease,Hoffmann-La Roche,EG000,Placebo,398,60,82,Crenezumab; Placebo
NCT03114657,A Study of Crenezumab Versus Placebo to Evaluate the Efficacy and Safety in Participants With Prodromal to Mild Alzheimer's Disease (AD),TERMINATED,INTERVENTIONAL,PHASE3,Alzheimer's Disease,Hoffmann-La Roche,EG001,Crenezumab,404,42,95,Crenezumab; Placebo
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG000,Part 1: GSK3174998 0.003 mg/kg,1,2,4,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG001,Part 1: GSK3174998 0.01 mg/kg,1,0,10,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG002,Part 1: GSK3174998 0.03 mg/kg,8,4,40,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG003,Part 1: GSK3174998 0.1 mg/kg,10,8,71,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG004,Part 1: GSK3174998 0.3 mg/kg,10,2,49,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG005,Part 1: GSK3174998 1.0 mg/kg,4,2,20,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG006,Part 1: GSK3174998 3.0 mg/kg,7,5,48,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG007,Part 1: GSK3174998 10.0 mg/kg,4,2,30,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG008,Part 2A: GSK3174998 0.003 mg/kg + Pembrolizumab 200 mg,5,1,20,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG009,Part 2A: GSK3174998 0.01 mg/kg + Pembrolizumab 200 mg,5,2,45,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG010,Part 2A: GSK3174998 0.03 mg/kg + Pembrolizumab 200 mg,10,9,48,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG011,Part 2A: GSK3174998 0.1 mg/kg + Pembrolizumab 200 mg,12,7,93,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG012,Part 2A: GSK3174998 0.3 mg/kg + Pembrolizumab 200 mg,14,10,96,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG013,Part 2A: GSK3174998 1.0 mg/kg + Pembrolizumab 200 mg,12,5,97,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG014,Part 2A: GSK3174998 3.0 mg/kg + Pembrolizumab 200 mg,12,2,72,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG015,Part 2A: GSK3174998 10.0 mg/kg + Pembrolizumab 200 mg,4,3,16,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG016,Part 2B: Melanoma Cohort,9,1,39,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG017,Part 2B: Soft Tissue Sarcoma Cohort,8,2,53,GSK3174998; Pembrolizumab
NCT02528357,GSK3174998 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors (ENGAGE-1),COMPLETED,INTERVENTIONAL,PHASE1,Neoplasms,GlaxoSmithKline,EG018,Part 2B: NSCLC Cohort,5,1,10,GSK3174998; Pembrolizumab
NCT04458857,A Study to Test if Fremanezumab is Effective in Preventing Episodic Migraine in Patients 6 to 17 Years of Age,COMPLETED,INTERVENTIONAL,PHASE3,Migraine,"Teva Branded Pharmaceutical Products R&D, Inc.",EG000,Placebo,112,3,35,Fremanezumab; Placebo
NCT04458857,A Study to Test if Fremanezumab is Effective in Preventing Episodic Migraine in Patients 6 to 17 Years of Age,COMPLETED,INTERVENTIONAL,PHASE3,Migraine,"Teva Branded Pharmaceutical Products R&D, Inc.",EG001,Fremanezumab Dose A,36,1,13,Fremanezumab; Placebo
NCT04458857,A Study to Test if Fremanezumab is Effective in Preventing Episodic Migraine in Patients 6 to 17 Years of Age,COMPLETED,INTERVENTIONAL,PHASE3,Migraine,"Teva Branded Pharmaceutical Products R&D, Inc.",EG002,Fremanezumab Dose B,87,1,44,Fremanezumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG000,Placebo,27,1,18,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG001,10 mg Ixekizumab,28,1,20,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG002,25 mg Ixekizumab,30,1,18,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG003,75 mg Ixekizumab,29,0,21,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG004,150 mg Ixekizumab,28,0,17,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG005,Treatment Durability,74,1,12,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG006,120 mg and 80 mg Total Ixekizumab,120,37,195,Ixekizumab; Placebo
NCT01107457,A Study in Participants With Moderate to Severe Psoriasis,COMPLETED,INTERVENTIONAL,PHASE2,Psoriasis,Eli Lilly and Company,EG007,Post Treatment Safety Visits,6,0,1,Ixekizumab; Placebo
NCT00583557,A Continuation Trial for Subjects With Rheumatoid Arthritis That Have Completed Protocol LBRA01,TERMINATED,INTERVENTIONAL,PHASE2,Rheumatoid Arthritis,Human Genome Sciences Inc.,EG000,Belimumab 10 mg/kg,153,112,837,belimumab
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG000,Part 1: Panitumumab + Rilotumumab,11,7,174,Ganitumab; Panitumumab; Placebo; Rilotumumab
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG001,Part 2: Panitumumab Alone,48,17,259,Ganitumab; Panitumumab; Placebo; Rilotumumab
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG002,Part 2: Panitumumab + Rilotumumab,48,20,271,Ganitumab; Panitumumab; Placebo; Rilotumumab
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG003,Part 2: Panitumumab + Ganitumab,46,14,262,Ganitumab; Panitumumab; Placebo; Rilotumumab
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG004,Part 3: Rilotumumab,13,8,45,Ganitumab; Panitumumab; Placebo; Rilotumumab
NCT00788957,Panitumumab Combination Study With Rilotumumab or Ganitumab in Wild-type Kirsten Rat Sarcoma Virus Oncogene Homolog (KRAS) Metastatic Colorectal Cancer (mCRC),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Colon Cancer, Colorectal Cancer, Gastrointestinal Cancer, Metastatic Colorectal Cancer, Rectal Cancer","NantBioScience, Inc.",EG005,Part 3: Ganitumab,11,4,65,Ganitumab; Panitumumab; Placebo; Rilotumumab
NCT02456857,"Liposomal Doxorubicin, Bevacizumab, and Everolimus in Patients With Locally Advanced TNBC With Tumors Predicted Insensitive to Standard Chemotherapy; A Moonshot Initiative",COMPLETED,INTERVENTIONAL,PHASE2,"Invasive Breast Carcinoma, Triple-Negative Breast Carcinoma",M.D. Anderson Cancer Center,EG000,Liposomal Doxorubicin + Bevacizumab + Everolimus,17,6,26,Bevacizumab; Everolimus; Laboratory Biomarker Analysis; Pegylated Liposomal Doxorubicin Hydrochloride
NCT00668148,"A Five-Tier, Open-Label Study of IMC-A12 in Advanced Sarcoma",COMPLETED,INTERVENTIONAL,PHASE2,"Ewing's Sarcoma /Peripheral Neuroectodermal Tumor (PNET), Rhabdomyosarcoma, Leiomyosarcoma, Adipocytic Sarcoma, Synovial Sarcoma",Eli Lilly and Company,EG000,Entire Study Population,111,90,371,IMC-A12 (cixutumumab)
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG000,"Phase I: Bev + TRC105 (Dose 0, Cohort A)",4,8,22,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG001,"Phase I: Bev + TRC105 (Dose 1, Cohort A)",3,0,25,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG002,"Phase I: Bev + TRC105 (Dose 2, Cohort A)",4,3,40,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG003,"Phase I: Bev + TRC105 (Dose 2, Cohort B)",3,4,25,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG004,Phase II: Bev + TRC105 (Arm I),49,46,465,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment
NCT01648348,Bevacizumab With or Without Anti-Endoglin Monoclonal Antibody TRC105 in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Adult Anaplastic Astrocytoma, Adult Anaplastic Oligodendroglioma, Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Adult Mixed Glioma, Recurrent Adult Brain Neoplasm",National Cancer Institute (NCI),EG005,Phase II: Bev Alone (Arm II),43,13,277,Anti-Endoglin Chimeric Monoclonal Antibody TRC105; Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study; Quality-of-Life Assessment
NCT00748657,Bevacizumab in Treating Patients With Recurrent Sex Cord-Stromal Tumors of the Ovary,COMPLETED,INTERVENTIONAL,PHASE2,"Malignant Ovarian Epithelial Tumor, Ovarian Granulosa Cell Tumor, Ovarian Gynandroblastoma, Ovarian Sertoli-Leydig Cell Tumor, Ovarian Sex Cord Tumor With Annular Tubules, Ovarian Sex Cord-Stromal Tumor, Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types, Ovarian Steroid Cell Tumor",National Cancer Institute (NCI),EG000,Bevacizumab,36,20,593,Bevacizumab; Laboratory Biomarker Analysis
NCT00170157,Hormone Therapy and Ipilimumab in Treating Patients With Advanced Prostate Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Prostate Adenocarcinoma, Prostate Carcinoma, Recurrent Prostate Carcinoma, Stage III Prostate Cancer, Stage IV Prostate Cancer",Mayo Clinic,EG000,Entire Study Population,110,24,826,Bicalutamide; Flutamide; Goserelin Acetate; Ipilimumab; Leuprolide Acetate; Pharmacological Study
NCT00618657,"Carboplatin+Nab-paclitaxel, Plus Trastuzumab (HER2+) or Bevacizumab (HER2-) in the Neoadjuvant Setting",COMPLETED,INTERVENTIONAL,PHASE2,"Breast Cancer, HER2-negative Breast Cancer, HER2-positive Breast Cancer, Recurrent Breast Cancer, Stage IA Breast Cancer, Stage IB Breast Cancer, Stage II Breast Cancer, Stage IIIA Breast Cancer, Stage IIIB Breast Cancer, Stage IIIC Breast Cancer","University of California, Irvine",EG000,Arm I (HER-2 Positive),42,4,38,Carboplatin; bevacizumab; magnetic resonance imaging; paclitaxel albumin-stabilized nanoparticle formulation; therapeutic conventional surgery; trastuzumab
NCT00618657,"Carboplatin+Nab-paclitaxel, Plus Trastuzumab (HER2+) or Bevacizumab (HER2-) in the Neoadjuvant Setting",COMPLETED,INTERVENTIONAL,PHASE2,"Breast Cancer, HER2-negative Breast Cancer, HER2-positive Breast Cancer, Recurrent Breast Cancer, Stage IA Breast Cancer, Stage IB Breast Cancer, Stage II Breast Cancer, Stage IIIA Breast Cancer, Stage IIIB Breast Cancer, Stage IIIC Breast Cancer","University of California, Irvine",EG001,Arm II (HER-2 Negative),85,1,90,Carboplatin; bevacizumab; magnetic resonance imaging; paclitaxel albumin-stabilized nanoparticle formulation; therapeutic conventional surgery; trastuzumab
NCT02810457,Evaluation of FKB238 and Avastin in Patients With Advanced/Recurrent Non-squamous Non-small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,"Carcinoma, Non-Small-Cell Lung",Centus Biotherapeutics Limited,EG000,FKB238 / Paclitaxel / Carboplatin,362,118,1360,Avastin (bevacizumab); Carboplatin; FKB238 (bevacizumab); Paclitaxel
NCT02810457,Evaluation of FKB238 and Avastin in Patients With Advanced/Recurrent Non-squamous Non-small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,"Carcinoma, Non-Small-Cell Lung",Centus Biotherapeutics Limited,EG001,Avastin / Paclitaxel / Carboplatin,366,127,1527,Avastin (bevacizumab); Carboplatin; FKB238 (bevacizumab); Paclitaxel
NCT00183248,Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Kidney Transplantation, Kidney Disease, Kidney Failure",University of Miami,EG000,DBMCs,4,13,71,Alemtuzumab; Donor bone marrow stem cell infusion; Kidney transplant; Mycophenolate mofetil; Sirolimus; Tacrolimus
NCT00183248,Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Kidney Transplantation, Kidney Disease, Kidney Failure",University of Miami,EG001,Control Group,5,4,51,Alemtuzumab; Donor bone marrow stem cell infusion; Kidney transplant; Mycophenolate mofetil; Sirolimus; Tacrolimus
NCT00663026,Study Evaluating Bapineuzumab In Alzheimer Disease Subjects,COMPLETED,INTERVENTIONAL,PHASE2,Alzheimer Disease,Pfizer,EG000,Placebo,19,1,49,bapineuzumab; placebo
NCT00663026,Study Evaluating Bapineuzumab In Alzheimer Disease Subjects,COMPLETED,INTERVENTIONAL,PHASE2,Alzheimer Disease,Pfizer,EG001,Bapineuzumab 5 mg,29,2,40,bapineuzumab; placebo
NCT00663026,Study Evaluating Bapineuzumab In Alzheimer Disease Subjects,COMPLETED,INTERVENTIONAL,PHASE2,Alzheimer Disease,Pfizer,EG002,Bapineuzumab 10 mg,31,6,39,bapineuzumab; placebo
NCT04431726,"A Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Subcutaneous Emicizumab in Participants From Birth to 12 Months of Age With Hemophilia A Without Inhibitors",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,Severe Hemophilia A,Hoffmann-La Roche,EG000,Emicizumab,55,29,266,Emicizumab
NCT02312557,Pembrolizumab in Treating Patients With Metastatic Castration Resistant Prostate Cancer Previously Treated With Enzalutamide,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,"Castration-Resistant Prostate Carcinoma, Hormone-Resistant Prostate Cancer, PSA Progression, Recurrent Prostate Carcinoma, Stage IV Prostate Adenocarcinoma Cancer AJCC v8",OHSU Knight Cancer Institute,EG000,Treatment (Pembrolizumab),58,41,328,Enzalutamide; Laboratory Biomarker Analysis; Pembrolizumab
NCT01914757,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting β2 Agonist,COMPLETED,INTERVENTIONAL,PHASE3,Asthma,AstraZeneca,EG000,Benralizumab 30 mg q.4 Weeks,438,58,408,Benralizumab; Placebo
NCT01914757,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting β2 Agonist,COMPLETED,INTERVENTIONAL,PHASE3,Asthma,AstraZeneca,EG001,Benralizumab 30 mg q.8 Weeks,428,52,382,Benralizumab; Placebo
NCT01914757,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting β2 Agonist,COMPLETED,INTERVENTIONAL,PHASE3,Asthma,AstraZeneca,EG002,Placebo,440,73,461,Benralizumab; Placebo
NCT02685826,A Study of Durvalumab in Combination With Lenalidomide With and Without Dexamethasone in Adults With Newly Diagnosed Multiple Myeloma,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Multiple Myeloma,Celgene,EG000,"Cohort A: High Risk, TNE",25,28,224,Dexamethasone; Durvalumab; Lenalidomide
